environment,model,state_id,task_id,method,variant,adaptation_seed,projection_seed,horizon,whitened_geometry_rmse
PushT,jepa_wm_pusht,52,6,frozen,frozen,-1,14011,6,0.6648171933543572
PushT,jepa_wm_pusht,53,6,frozen,frozen,-1,14011,1,1.0260320540356678
PushT,jepa_wm_pusht,53,6,frozen,frozen,-1,14011,3,0.7485640723859728
PushT,jepa_wm_pusht,53,6,frozen,frozen,-1,14011,6,0.8059862924493716
PushT,jepa_wm_pusht,54,6,frozen,frozen,-1,14011,1,1.5214306963500275
PushT,jepa_wm_pusht,54,6,frozen,frozen,-1,14011,3,1.2333460368563651
PushT,jepa_wm_pusht,54,6,frozen,frozen,-1,14011,6,1.1879219228159006
PushT,jepa_wm_pusht,55,6,frozen,frozen,-1,14011,1,0.7129002363594374
PushT,jepa_wm_pusht,55,6,frozen,frozen,-1,14011,3,0.7327772724390491
PushT,jepa_wm_pusht,55,6,frozen,frozen,-1,14011,6,0.7369232222741424
PushT,jepa_wm_pusht,8,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,0.989667573380333
PushT,jepa_wm_pusht,8,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,0.8220907289415467
PushT,jepa_wm_pusht,8,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,0.7544168339502892
PushT,jepa_wm_pusht,9,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,1.2394914398579027
PushT,jepa_wm_pusht,9,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,0.8911004280083854
PushT,jepa_wm_pusht,9,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,0.8064436716454239
PushT,jepa_wm_pusht,10,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,1.3165524675742932
PushT,jepa_wm_pusht,10,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,1.1837122990557447
PushT,jepa_wm_pusht,10,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,1.0234622023558035
PushT,jepa_wm_pusht,11,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,1.5902829809717725
PushT,jepa_wm_pusht,11,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,0.9667522399147687
PushT,jepa_wm_pusht,11,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,0.8884175721047877
PushT,jepa_wm_pusht,12,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,1.1618127631577686
PushT,jepa_wm_pusht,12,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,0.8924697887672405
PushT,jepa_wm_pusht,12,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,0.7958134676720896
PushT,jepa_wm_pusht,13,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,1.232464746523569
PushT,jepa_wm_pusht,13,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,0.8331577217965876
PushT,jepa_wm_pusht,13,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,0.8086487174108572
PushT,jepa_wm_pusht,14,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,0.4995794156181209
PushT,jepa_wm_pusht,14,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,0.585450522355584
PushT,jepa_wm_pusht,14,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,0.6400244112608661
PushT,jepa_wm_pusht,15,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,0.599306821673273
PushT,jepa_wm_pusht,15,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,0.7006039702480187
PushT,jepa_wm_pusht,15,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,0.6815790798232785
