environment,model,adaptation_seed,method,horizon,matched_geometry_rmse,native_anchor
PushT,jepa_wm_pusht,11437,fidelity_constrained_shuffled_geometry,3,0.8755682110786438,0.06531815230846405
PushT,jepa_wm_pusht,11437,fidelity_constrained_shuffled_geometry,6,0.833736777305603,0.07472776621580124
PushT,jepa_wm_pusht,11437,fidelity_constrained_matched_geometry,1,1.0578103065490723,0.04428635537624359
PushT,jepa_wm_pusht,11437,fidelity_constrained_matched_geometry,3,0.8470637202262878,0.06259337812662125
PushT,jepa_wm_pusht,11437,fidelity_constrained_matched_geometry,6,0.800064742565155,0.06949740648269653
Wall,jepa_wm_wall,11437,frozen,1,1.189724087715149,0.12702064216136932
Wall,jepa_wm_wall,11437,frozen,3,1.7150977849960327,0.1991143375635147
Wall,jepa_wm_wall,11437,frozen,6,1.7570147514343262,0.21436478197574615
Wall,jepa_wm_wall,11437,fidelity_constrained_latent_only,1,1.1623047590255737,0.09231653809547424
Wall,jepa_wm_wall,11437,fidelity_constrained_latent_only,3,1.5538616180419922,0.14829117059707642
Wall,jepa_wm_wall,11437,fidelity_constrained_latent_only,6,1.7372794151306152,0.17483364045619965
Wall,jepa_wm_wall,11437,fidelity_constrained_shuffled_geometry,1,1.1443215608596802,0.12945790588855743
Wall,jepa_wm_wall,11437,fidelity_constrained_shuffled_geometry,3,1.6234564781188965,0.19539833068847656
Wall,jepa_wm_wall,11437,fidelity_constrained_shuffled_geometry,6,1.6986947059631348,0.2121109515428543
Wall,jepa_wm_wall,11437,fidelity_constrained_matched_geometry,1,1.1484909057617188,0.1295088678598404
Wall,jepa_wm_wall,11437,fidelity_constrained_matched_geometry,3,1.5447760820388794,0.19145317375659943
Wall,jepa_wm_wall,11437,fidelity_constrained_matched_geometry,6,1.6008590459823608,0.21441473066806793
