environment,model,state_id,task_id,evaluation_seed,split,variant,method,adaptation_seed,projection_seed,horizon,normalized_regret,weighted_pairwise_accuracy,top1_correct,normalized_margin_rmse,pose_error,selected_action,oracle_action,selected_is_null
PushT,jepa_wm_pusht,18,2,1709,development_holdout,frozen,frozen,-1,14011,3,1.0,0.40792075673755296,0.0,2.066421284169365,0.08021210177947309,7,2,0
PushT,jepa_wm_pusht,18,2,1709,development_holdout,frozen,frozen,-1,14011,6,0.36289437302384253,0.43575901209762147,0.0,1.40208345740555,0.09815245405319971,5,2,0
PushT,jepa_wm_pusht,19,2,913,development_holdout,frozen,frozen,-1,14011,1,1.0,0.28004697595109257,0.0,3.8978489530540075,0.06833455262111018,4,7,0
PushT,jepa_wm_pusht,19,2,913,development_holdout,frozen,frozen,-1,14011,3,0.0,0.7226631265378732,1.0,1.1445729505797462,0.07829236467991751,7,7,0
PushT,jepa_wm_pusht,19,2,913,development_holdout,frozen,frozen,-1,14011,6,0.8838632056446043,0.5438660403103656,0.0,1.1675692042401447,0.08910097773556104,6,5,0
PushT,jepa_wm_pusht,20,2,1297,development_holdout,frozen,frozen,-1,14011,1,0.0,0.9040487984426646,1.0,1.037328985735555,0.04722354651548233,8,8,0
PushT,jepa_wm_pusht,20,2,1297,development_holdout,frozen,frozen,-1,14011,3,0.06837919317243876,0.5776473090404671,0.0,1.2751279909296873,0.17423782198089158,6,8,0
PushT,jepa_wm_pusht,20,2,1297,development_holdout,frozen,frozen,-1,14011,6,1.0,0.23713689653153952,0.0,1.5538290623276365,0.30602648284328426,3,8,0
PushT,jepa_wm_pusht,21,2,1709,development_holdout,frozen,frozen,-1,14011,1,0.0,nan,1.0,nan,0.02437526528187447,5,0,0
PushT,jepa_wm_pusht,21,2,1709,development_holdout,frozen,frozen,-1,14011,3,1.0,0.12836306986909563,0.0,3.1625482899522632,0.07053931158715139,6,2,0
PushT,jepa_wm_pusht,21,2,1709,development_holdout,frozen,frozen,-1,14011,6,0.0,0.9064441098923708,1.0,0.5675128089731558,0.065473398819447,3,3,0
PushT,jepa_wm_pusht,22,2,913,development_holdout,frozen,frozen,-1,14011,1,1.0,0.7777777777777778,0.0,27.62647422756409,0.07248877127896661,5,6,0
PushT,jepa_wm_pusht,22,2,913,development_holdout,frozen,frozen,-1,14011,3,0.1402584854949118,0.8721783398156674,0.0,1.6788231963912308,0.06937859353481061,2,4,0
PushT,jepa_wm_pusht,22,2,913,development_holdout,frozen,frozen,-1,14011,6,0.16420548128968346,0.7842891877531195,0.0,1.0266971578837245,0.07915970025057462,2,4,0
PushT,jepa_wm_pusht,23,2,1297,development_holdout,frozen,frozen,-1,14011,1,0.8184373479905506,0.015621180982714781,0.0,2.3758622369940556,0.23771939401471293,6,9,0
PushT,jepa_wm_pusht,23,2,1297,development_holdout,frozen,frozen,-1,14011,3,0.10029137060733691,0.6474430869056472,0.0,0.9792200926253293,0.22727383138848345,2,9,0
PushT,jepa_wm_pusht,23,2,1297,development_holdout,frozen,frozen,-1,14011,6,0.03888360509217747,0.9383478478343371,0.0,0.6210850082249274,0.23054616380177237,0,9,1
PushT,jepa_wm_pusht,48,6,913,development_holdout,frozen,frozen,-1,14011,1,0.0,0.9803932813908437,1.0,0.6131418918955142,0.1586948073087766,9,9,0
PushT,jepa_wm_pusht,48,6,913,development_holdout,frozen,frozen,-1,14011,3,0.03292797551033872,0.8073170651429729,0.0,0.7885872611404745,0.07845521579832318,7,5,0
PushT,jepa_wm_pusht,48,6,913,development_holdout,frozen,frozen,-1,14011,6,0.4444760584383371,0.7642964664457526,0.0,0.8419867917911206,0.12146879553987848,0,5,1
PushT,jepa_wm_pusht,49,6,1297,development_holdout,frozen,frozen,-1,14011,1,0.021846463468537518,0.8964155399901228,0.0,0.5413006834166826,0.10701874970077652,7,5,0
PushT,jepa_wm_pusht,49,6,1297,development_holdout,frozen,frozen,-1,14011,3,0.42065387548188055,0.8442777486824077,0.0,0.6859225190649934,0.07906926556865068,9,5,0
PushT,jepa_wm_pusht,49,6,1297,development_holdout,frozen,frozen,-1,14011,6,0.47581655491424596,0.7439870779083878,0.0,0.8812755988520204,0.15370567802689744,0,5,1
PushT,jepa_wm_pusht,50,6,1709,development_holdout,frozen,frozen,-1,14011,1,0.6799325238708473,0.11913962538134958,0.0,1.538200579323022,0.0543994209102602,8,1,0
PushT,jepa_wm_pusht,50,6,1709,development_holdout,frozen,frozen,-1,14011,3,0.0,0.9500878820277754,1.0,0.3931874192961276,0.051811242221760055,2,2,0
PushT,jepa_wm_pusht,50,6,1709,development_holdout,frozen,frozen,-1,14011,6,0.19887118635918416,0.6925640844114328,0.0,1.0388411866405953,0.10702901028671549,1,2,0
PushT,jepa_wm_pusht,51,6,913,development_holdout,frozen,frozen,-1,14011,1,1.0,0.042840596249110297,0.0,1.5907804964936958,0.05431580884125289,8,9,0
PushT,jepa_wm_pusht,51,6,913,development_holdout,frozen,frozen,-1,14011,3,0.0,0.894453538285607,1.0,0.5020484288961008,0.04688952589934523,9,9,0
PushT,jepa_wm_pusht,51,6,913,development_holdout,frozen,frozen,-1,14011,6,0.0,0.9040632808908291,1.0,0.48852689096233787,0.07121205968848501,9,9,0
PushT,jepa_wm_pusht,52,6,1297,development_holdout,frozen,frozen,-1,14011,1,0.0,0.4444444444444444,1.0,40.82700911616713,0.06379432467810942,1,0,0
PushT,jepa_wm_pusht,52,6,1297,development_holdout,frozen,frozen,-1,14011,3,0.13522847553569003,0.948352882631514,0.0,1.051813721348676,0.0720579763832437,1,2,0
PushT,jepa_wm_pusht,52,6,1297,development_holdout,frozen,frozen,-1,14011,6,0.0,0.7851926905854382,1.0,0.8263695370473112,0.06434250950632595,3,3,0
PushT,jepa_wm_pusht,53,6,1709,development_holdout,frozen,frozen,-1,14011,1,0.22071215478288175,0.44895597722961733,0.0,2.3324747277005513,0.08721377311290446,1,9,0
PushT,jepa_wm_pusht,53,6,1709,development_holdout,frozen,frozen,-1,14011,3,0.13836259772926038,0.8674671039317144,0.0,0.6400031980960833,0.0904540750922176,1,5,0
PushT,jepa_wm_pusht,53,6,1709,development_holdout,frozen,frozen,-1,14011,6,0.0,0.8735009852258464,1.0,0.817787087049484,0.15978913306330783,5,5,0
PushT,jepa_wm_pusht,54,6,913,development_holdout,frozen,frozen,-1,14011,1,0.5144474869020803,0.32343971368273,0.0,1.184321933442433,0.06304704437352467,7,4,0
PushT,jepa_wm_pusht,54,6,913,development_holdout,frozen,frozen,-1,14011,3,0.1412244470232876,0.5715733819349036,0.0,1.5431849689788844,0.1314324739013291,1,4,0
PushT,jepa_wm_pusht,54,6,913,development_holdout,frozen,frozen,-1,14011,6,0.1005509547744337,0.6120694382303896,0.0,1.3838802787952995,0.17333057461518303,1,4,0
PushT,jepa_wm_pusht,55,6,1297,development_holdout,frozen,frozen,-1,14011,1,1.0,0.0,0.0,7.7030987640360555,0.06757704958719077,6,0,0
PushT,jepa_wm_pusht,55,6,1297,development_holdout,frozen,frozen,-1,14011,3,0.5069549095951416,0.04322208196961383,0.0,2.4713762790567118,0.09692356799252635,4,8,0
PushT,jepa_wm_pusht,55,6,1297,development_holdout,frozen,frozen,-1,14011,6,0.0,0.44034790007714564,1.0,1.747146432076306,0.11450007530060172,3,3,0
