environment,method,adaptation_seed,projection_seed,horizon,metric,estimate,low,high,n_tasks,n_bootstrap,task_means_json
PushT,fidelity_constrained_latent_only,11401,14011,1,normalized_regret,0.3620849475870336,0.23780461484971135,0.49031139276528335,3,2000,"{""1"": 0.23780461484971133, ""2"": 0.3581388351461061, ""6"": 0.49031139276528335}"
PushT,fidelity_constrained_latent_only,11401,14011,1,weighted_pairwise_accuracy,0.4765348878676614,0.3994677237330786,0.5485289972729489,3,2000,"{""1"": 0.5485289972729489, ""2"": 0.48160794259695666, ""6"": 0.3994677237330786}"
PushT,fidelity_constrained_latent_only,11401,14011,1,top1_correct,0.4583333333333333,0.25,0.625,3,2000,"{""1"": 0.625, ""2"": 0.5, ""6"": 0.25}"
PushT,fidelity_constrained_latent_only,11401,14011,1,normalized_margin_rmse,5.401666989130425,1.9835373310811812,8.346578668688306,3,2000,"{""1"": 1.9835373310811812, ""2"": 5.874884967621789, ""6"": 8.346578668688306}"
PushT,fidelity_constrained_latent_only,11401,14011,1,pose_error,0.08652872193812876,0.07604301631597259,0.10368605192418368,3,2000,"{""1"": 0.10368605192418368, ""2"": 0.07604301631597259, ""6"": 0.07985709757422998}"
PushT,fidelity_constrained_latent_only,11401,14011,1,selected_is_null,0.041666666666666664,0.0,0.125,3,2000,"{""1"": 0.0, ""2"": 0.125, ""6"": 0.0}"
PushT,fidelity_constrained_latent_only,11401,14011,3,normalized_regret,0.2703537801080604,0.11933730067421479,0.4136161311593359,3,2000,"{""1"": 0.2781079084906304, ""2"": 0.41361613115933593, ""6"": 0.11933730067421479}"
PushT,fidelity_constrained_latent_only,11401,14011,3,weighted_pairwise_accuracy,0.7074970109487261,0.6098959173804599,0.7636578168659242,3,2000,"{""1"": 0.7636578168659243, ""2"": 0.6098959173804599, ""6"": 0.7489372985997943}"
PushT,fidelity_constrained_latent_only,11401,14011,3,top1_correct,0.375,0.25,0.5,3,2000,"{""1"": 0.5, ""2"": 0.25, ""6"": 0.375}"
PushT,fidelity_constrained_latent_only,11401,14011,3,normalized_margin_rmse,1.2508495061416827,1.0162440477238728,1.624401283152257,3,2000,"{""1"": 1.1119031875489185, ""2"": 1.624401283152257, ""6"": 1.0162440477238728}"
