environment,model,state_id,task_id,variant,method,adaptation_seed,decoder_index,decoder_projection_seed,horizon,certificate_bound,normalized_gap,certificate_normalized_regret_q,conventional_normalized_regret,regret_bound_holds,top1_certified,top1_correct,selected_action,oracle_action
PushT,jepa_wm_pusht,11,1,frozen,frozen,-1,1,13519,6,1.4305637507359787,0.2434864252420023,0.0,0.0,True,False,True,6,6
PushT,jepa_wm_pusht,11,1,frozen,frozen,-1,2,13537,6,1.0024257091016402,0.2434864252420023,0.0,0.0,True,False,True,6,6
PushT,jepa_wm_pusht,12,1,frozen,frozen,-1,0,13501,1,1.1045570093999624,0.09450672487896075,0.30421178027634105,0.30421178027634105,True,False,False,1,6
PushT,jepa_wm_pusht,12,1,frozen,frozen,-1,1,13519,1,1.8068085634592106,0.09450672487896075,1.0,1.0,True,False,False,9,6
PushT,jepa_wm_pusht,12,1,frozen,frozen,-1,2,13537,1,3.167331841654594,0.09450672487896075,0.8864419510504964,0.8864419510504964,True,False,False,7,6
PushT,jepa_wm_pusht,12,1,frozen,frozen,-1,0,13501,3,1.265502029049311,0.05556742065693472,0.0,0.0,True,False,True,4,4
PushT,jepa_wm_pusht,12,1,frozen,frozen,-1,1,13519,3,1.2714017955387358,0.05556742065693472,0.0,0.0,True,False,True,4,4
PushT,jepa_wm_pusht,12,1,frozen,frozen,-1,2,13537,3,1.2715895723229,0.05556742065693472,0.0,0.0,True,False,True,4,4
PushT,jepa_wm_pusht,12,1,frozen,frozen,-1,0,13501,6,1.0193997032164437,0.01885074951463251,0.0,0.0,True,False,True,2,2
PushT,jepa_wm_pusht,12,1,frozen,frozen,-1,1,13519,6,0.8357062361627158,0.01885074951463251,0.01885074951463251,0.01885074951463251,True,False,False,4,2
PushT,jepa_wm_pusht,12,1,frozen,frozen,-1,2,13537,6,1.0970016595896628,0.01885074951463251,0.01885074951463251,0.01885074951463251,True,False,False,4,2
PushT,jepa_wm_pusht,13,1,frozen,frozen,-1,0,13501,1,1.5612995604160191,0.05717193711490079,0.7753823480956951,0.7753823480956951,True,False,False,7,6
PushT,jepa_wm_pusht,13,1,frozen,frozen,-1,1,13519,1,2.1276299904381424,0.05717193711490079,0.9488516591828323,0.9488516591828323,True,False,False,0,6
PushT,jepa_wm_pusht,13,1,frozen,frozen,-1,2,13537,1,3.5506624826971933,0.05717193711490079,1.0,1.0,True,False,False,9,6
PushT,jepa_wm_pusht,13,1,frozen,frozen,-1,0,13501,3,0.9543315316549813,0.0161718104917741,0.0161718104917741,0.0161718104917741,True,False,False,4,2
PushT,jepa_wm_pusht,13,1,frozen,frozen,-1,1,13519,3,1.0326232813205825,0.0161718104917741,0.0,0.0,True,False,True,2,2
PushT,jepa_wm_pusht,13,1,frozen,frozen,-1,2,13537,3,1.3162790042134687,0.0161718104917741,0.0,0.0,True,False,True,2,2
PushT,jepa_wm_pusht,13,1,frozen,frozen,-1,0,13501,6,1.020720967102346,0.05290481855690444,0.0,0.0,True,False,True,2,2
PushT,jepa_wm_pusht,13,1,frozen,frozen,-1,1,13519,6,0.8419817277434192,0.05290481855690444,0.0,0.0,True,False,True,2,2
PushT,jepa_wm_pusht,13,1,frozen,frozen,-1,2,13537,6,1.0546362118124906,0.05290481855690444,0.0,0.0,True,False,True,2,2
