environment,treatment,baseline,projection_seed,horizon,metric,positive_means_treatment_better,adaptation_seeds_averaged_within_task,estimate,low,high,n_tasks,n_bootstrap,task_means_json
PushT,fidelity_constrained_matched_geometry,frozen,14011,1,whitened_geometry_rmse,True,3,0.01297286318928722,0.012589564682035488,0.013353583015807585,3,2000,"{""1"": 0.012589564682035488, ""2"": 0.013353583015807583, ""6"": 0.012975441870018591}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14011,1,whitened_geometry_rmse,True,3,0.005337672089123485,0.002415744924654232,0.00703122372130043,3,2000,"{""1"": 0.002415744924654232, ""2"": 0.00703122372130043, ""6"": 0.006566047621415795}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14011,1,whitened_geometry_rmse,True,3,0.014690567077415983,0.013499759427599378,0.016545884811345113,3,2000,"{""1"": 0.013499759427599378, ""2"": 0.016545884811345113, ""6"": 0.014026056993303455}"
PushT,fidelity_constrained_matched_geometry,frozen,14011,3,whitened_geometry_rmse,True,3,0.021112897817860566,0.01310601715924021,0.02786693423983048,3,2000,"{""1"": 0.027866934239830478, ""2"": 0.022365742054511008, ""6"": 0.01310601715924021}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14011,3,whitened_geometry_rmse,True,3,0.006187211659651706,-0.0009082757755381711,0.010285489374147989,3,2000,"{""1"": 0.010285489374147989, ""2"": -0.0009082757755381711, ""6"": 0.0091844213803453}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14011,3,whitened_geometry_rmse,True,3,0.036730183463449625,0.03100980653398311,0.043283342968595075,3,2000,"{""1"": 0.03100980653398311, ""2"": 0.04328334296859508, ""6"": 0.035897400887770686}"
PushT,fidelity_constrained_matched_geometry,frozen,14011,6,whitened_geometry_rmse,True,3,0.05888728393464938,0.04902595834582768,0.07797350021673795,3,2000,"{""1"": 0.04966239324138251, ""2"": 0.07797350021673795, ""6"": 0.04902595834582768}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14011,6,whitened_geometry_rmse,True,3,0.015630050029960544,0.012165565627815683,0.01863713236302375,3,2000,"{""1"": 0.01863713236302375, ""2"": 0.012165565627815683, ""6"": 0.016087452099042197}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14011,6,whitened_geometry_rmse,True,3,0.05229238890636761,0.03554600817254916,0.06289655208269347,3,2000,"{""1"": 0.03554600817254916, ""2"": 0.058434606463860186, ""6"": 0.06289655208269347}"
PushT,fidelity_constrained_matched_geometry,frozen,14029,1,whitened_geometry_rmse,True,3,0.011064832456013363,0.007050297046202373,0.015282917803997835,3,2000,"{""1"": 0.015282917803997835, ""2"": 0.010861282517839882, ""6"": 0.007050297046202373}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14029,1,whitened_geometry_rmse,True,3,0.0031146868714139633,-0.0008550233420539146,0.007803115772334136,3,2000,"{""1"": -0.0008550233420539146, ""2"": 0.007803115772334135, ""6"": 0.002395968183961669}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14029,1,whitened_geometry_rmse,True,3,0.016687003639169636,0.014085181122365176,0.020526537965648663,3,2000,"{""1"": 0.015449291829495072, ""2"": 0.014085181122365176, ""6"": 0.020526537965648663}"
PushT,fidelity_constrained_matched_geometry,frozen,14029,3,whitened_geometry_rmse,True,3,0.020620052153982635,0.010234873497157498,0.02922397616699968,3,2000,"{""1"": 0.02922397616699968, ""2"": 0.022401306797790725, ""6"": 0.010234873497157498}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14029,3,whitened_geometry_rmse,True,3,0.0044977635929711835,-0.0008702357623493803,0.008585726964380536,3,2000,"{""1"": 0.005777799576882394, ""2"": -0.0008702357623493803, ""6"": 0.008585726964380536}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14029,3,whitened_geometry_rmse,True,3,0.03801010285421189,0.03210558021944361,0.04435160752165415,3,2000,"{""1"": 0.03210558021944361, ""2"": 0.04435160752165415, ""6"": 0.037573120821537916}"
PushT,fidelity_constrained_matched_geometry,frozen,14029,6,whitened_geometry_rmse,True,3,0.0571593514104212,0.04855985305866259,0.06671922672268968,3,2000,"{""1"": 0.05619897444991134, ""2"": 0.06671922672268968, ""6"": 0.04855985305866259}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14029,6,whitened_geometry_rmse,True,3,0.014083545857575938,0.004596635328339252,0.019534505788406934,3,2000,"{""1"": 0.018119496455981637, ""2"": 0.004596635328339252, ""6"": 0.019534505788406934}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14029,6,whitened_geometry_rmse,True,3,0.050338479871594115,0.035530173903039114,0.05834269311075078,3,2000,"{""1"": 0.035530173903039114, ""2"": 0.058342693110750785, ""6"": 0.057142572600992446}"
PushT,fidelity_constrained_matched_geometry,frozen,14047,1,whitened_geometry_rmse,True,3,0.016263487629628,0.013110742677246441,0.018676259957827457,3,2000,"{""1"": 0.018676259957827457, ""2"": 0.013110742677246441, ""6"": 0.017003460253810096}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14047,1,whitened_geometry_rmse,True,3,0.0064209044301350715,0.0031050621280489937,0.008199984025425608,3,2000,"{""1"": 0.00795766713693061, ""2"": 0.0031050621280489937, ""6"": 0.008199984025425608}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14047,1,whitened_geometry_rmse,True,3,0.014651335724283045,0.011746684917441486,0.018573738539905436,3,2000,"{""1"": 0.011746684917441488, ""2"": 0.018573738539905436, ""6"": 0.013633583715502209}"
PushT,fidelity_constrained_matched_geometry,frozen,14047,3,whitened_geometry_rmse,True,3,0.020008166298089037,0.008180186847674548,0.02712627514215944,3,2000,"{""1"": 0.024718036904433124, ""2"": 0.027126275142159435, ""6"": 0.008180186847674548}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14047,3,whitened_geometry_rmse,True,3,0.0037287652129946573,0.0015469433922405916,0.005619181256487212,3,2000,"{""1"": 0.005619181256487212, ""2"": 0.0015469433922405916, ""6"": 0.004020170990256168}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14047,3,whitened_geometry_rmse,True,3,0.037278022313907554,0.03354001410839133,0.04423248773039146,3,2000,"{""1"": 0.03354001410839133, ""2"": 0.04423248773039146, ""6"": 0.034061565102939874}"
PushT,fidelity_constrained_matched_geometry,frozen,14047,6,whitened_geometry_rmse,True,3,0.062496232319780944,0.05260787692600851,0.08188369094550718,3,2000,"{""1"": 0.052607876926008504, ""2"": 0.08188369094550718, ""6"": 0.05299712908782717}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14047,6,whitened_geometry_rmse,True,3,0.017578659051423907,0.01187576436626465,0.022379491037029187,3,2000,"{""1"": 0.018480721750977883, ""2"": 0.011875764366264651, ""6"": 0.022379491037029187}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14047,6,whitened_geometry_rmse,True,3,0.04716928686314187,0.032323356340884735,0.05504150534306032,3,2000,"{""1"": 0.032323356340884735, ""2"": 0.05414299890548056, ""6"": 0.05504150534306032}"
PushT,fidelity_constrained_matched_geometry,frozen,14065,1,whitened_geometry_rmse,True,3,0.019350700865045433,0.0175478216864726,0.020252357876809447,3,2000,"{""1"": 0.020252357876809447, ""2"": 0.0175478216864726, ""6"": 0.020251923031854243}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14065,1,whitened_geometry_rmse,True,3,0.01062013137960545,0.006720493224632145,0.01774328686558363,3,2000,"{""1"": 0.007396614048600576, ""2"": 0.0067204932246321455, ""6"": 0.01774328686558363}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14065,1,whitened_geometry_rmse,True,3,0.013634439336925533,0.011900878724361972,0.01596961286714705,3,2000,"{""1"": 0.013032826419267573, ""2"": 0.01596961286714705, ""6"": 0.011900878724361972}"
PushT,fidelity_constrained_matched_geometry,frozen,14065,3,whitened_geometry_rmse,True,3,0.02072146111357625,0.004828214541841064,0.030738944819439423,3,2000,"{""1"": 0.02659722397944826, ""2"": 0.030738944819439423, ""6"": 0.004828214541841064}"
