environment,model,variant,method,adaptation_seed,evaluation_projection_seed,evaluation_projection_dim,ridge,calibration_pose_mse,ridge_optimum_interior,ridge_search_audit_json
PushT,jepa_wm_pusht,frozen,frozen,-1,14011,128,100.0,0.05343392430289919,True,"[{""best_index"": 5, ""best_loss"": 0.05343392430289919, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14011,128,100.0,0.05178470492528453,True,"[{""best_index"": 5, ""best_loss"": 0.05178470492528453, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,14011,128,100.0,0.05298966754575807,True,"[{""best_index"": 5, ""best_loss"": 0.05298966754575807, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_matched_geometry__seed11401,fidelity_constrained_matched_geometry,11401,14011,128,100.0,0.052638506778615694,True,"[{""best_index"": 5, ""best_loss"": 0.052638506778615694, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_latent_only__seed11419,fidelity_constrained_latent_only,11419,14011,128,100.0,0.0519627935618184,True,"[{""best_index"": 5, ""best_loss"": 0.0519627935618184, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_shuffled_geometry__seed11419,fidelity_constrained_shuffled_geometry,11419,14011,128,100.0,0.05314926344446928,True,"[{""best_index"": 5, ""best_loss"": 0.05314926344446928, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_matched_geometry__seed11419,fidelity_constrained_matched_geometry,11419,14011,128,100.0,0.05276373542101096,True,"[{""best_index"": 5, ""best_loss"": 0.05276373542101096, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_latent_only__seed11437,fidelity_constrained_latent_only,11437,14011,128,100.0,0.05219163444101566,True,"[{""best_index"": 5, ""best_loss"": 0.05219163444101566, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_shuffled_geometry__seed11437,fidelity_constrained_shuffled_geometry,11437,14011,128,100.0,0.05230498566626833,True,"[{""best_index"": 5, ""best_loss"": 0.05230498566626833, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_matched_geometry__seed11437,fidelity_constrained_matched_geometry,11437,14011,128,100.0,0.052323272062881836,True,"[{""best_index"": 5, ""best_loss"": 0.052323272062881836, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,frozen,frozen,-1,14029,128,100.0,0.05767358361031554,True,"[{""best_index"": 5, ""best_loss"": 0.05767358361031554, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,14029,128,100.0,0.05725027222140155,True,"[{""best_index"": 5, ""best_loss"": 0.05725027222140155, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,14029,128,100.0,0.05875563599631124,True,"[{""best_index"": 5, ""best_loss"": 0.05875563599631124, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_matched_geometry__seed11401,fidelity_constrained_matched_geometry,11401,14029,128,100.0,0.05806046823773823,True,"[{""best_index"": 5, ""best_loss"": 0.05806046823773823, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_latent_only__seed11419,fidelity_constrained_latent_only,11419,14029,128,100.0,0.057190223652765465,True,"[{""best_index"": 5, ""best_loss"": 0.057190223652765465, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
PushT,jepa_wm_pusht,fidelity_constrained_shuffled_geometry__seed11419,fidelity_constrained_shuffled_geometry,11419,14029,128,100.0,0.058779712447441526,True,"[{""best_index"": 5, ""best_loss"": 0.058779712447441526, ""best_ridge"": 100.0, ""expansion"": 0, ""exponents"": [-8, -6, -4, -2, 0, 2, 4]}]"
