environment,treatment,baseline,projection_seed,horizon,metric,positive_means_treatment_better,adaptation_seeds_averaged_within_task,paired_state_seed_rows,estimate,low,high,n_tasks,n_bootstrap,task_means_json
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14011,6,normalized_regret,True,3,72,-0.017697378527115486,-0.053092135581346456,0.0,3,2000,"{""1"": 0.0, ""2"": -0.053092135581346456, ""6"": 0.0}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14011,6,weighted_pairwise_accuracy,True,3,72,0.007402959759506017,-0.0077389830270994595,0.021198150578586147,3,2000,"{""1"": 0.008749711727031362, ""2"": 0.021198150578586147, ""6"": -0.0077389830270994595}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14011,6,top1_correct,True,3,72,0.0,0.0,0.0,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": 0.0}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14011,6,normalized_regret,True,3,72,-0.024408056092905566,-0.10529623970566433,0.09261569175154834,3,2000,"{""1"": -0.10529623970566435, ""2"": -0.06054362032460069, ""6"": 0.09261569175154835}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14011,6,weighted_pairwise_accuracy,True,3,72,0.020324492526527377,0.01270569378227221,0.0252168708575284,3,2000,"{""1"": 0.025216870857528405, ""2"": 0.023050912939781513, ""6"": 0.01270569378227221}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14011,6,top1_correct,True,3,72,0.041666666666666664,-0.08333333333333333,0.125,3,2000,"{""1"": -0.08333333333333334, ""2"": 0.125, ""6"": 0.08333333333333334}"
PushT,fidelity_constrained_matched_geometry,frozen,14029,1,normalized_regret,True,3,72,-0.02772209641061156,-0.10140619345355122,0.01823990422171654,3,2000,"{""1"": 0.01823990422171654, ""2"": 0.0, ""6"": -0.10140619345355122}"
PushT,fidelity_constrained_matched_geometry,frozen,14029,1,weighted_pairwise_accuracy,True,3,57,0.002565803127482034,-0.020874743289156103,0.01615694514326499,3,2000,"{""1"": 0.01615694514326499, ""2"": 0.012415207528337215, ""6"": -0.020874743289156103}"
PushT,fidelity_constrained_matched_geometry,frozen,14029,1,top1_correct,True,3,72,-0.027777777777777776,-0.08333333333333333,0.0,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": -0.08333333333333333}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14029,1,normalized_regret,True,3,72,-0.030789921131147424,-0.09236976339344227,0.0,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": -0.09236976339344227}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14029,1,weighted_pairwise_accuracy,True,3,57,0.00822956339351722,-0.007484386245193282,0.02847077273814678,3,2000,"{""1"": 0.02847077273814678, ""2"": -0.007484386245193282, ""6"": 0.0037023036875981578}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14029,1,top1_correct,True,3,72,-0.027777777777777776,-0.08333333333333333,0.0,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": -0.08333333333333333}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14029,1,normalized_regret,True,3,72,-0.039058971680139026,-0.11850051343336727,0.041666666666666664,3,2000,"{""1"": -0.04034306827371646, ""2"": 0.041666666666666664, ""6"": -0.11850051343336729}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14029,1,weighted_pairwise_accuracy,True,3,57,0.003617746293258081,-0.007422018095012928,0.01006667487353667,3,2000,"{""1"": 0.01006667487353667, ""2"": 0.0082085821012505, ""6"": -0.007422018095012929}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14029,1,top1_correct,True,3,72,-0.013888888888888888,-0.08333333333333333,0.041666666666666664,3,2000,"{""1"": 0.0, ""2"": 0.041666666666666664, ""6"": -0.08333333333333333}"
PushT,fidelity_constrained_matched_geometry,frozen,14029,3,normalized_regret,True,3,72,-0.03475395296378463,-0.20670763691594105,0.06525445919498937,3,2000,"{""1"": -0.20670763691594105, ""2"": 0.03719131882959779, ""6"": 0.06525445919498937}"
PushT,fidelity_constrained_matched_geometry,frozen,14029,3,weighted_pairwise_accuracy,True,3,72,0.0007802914995947546,-0.05733246529427501,0.03427360291058321,3,2000,"{""1"": -0.057332465294275006, ""2"": 0.02539973688247606, ""6"": 0.03427360291058321}"
PushT,fidelity_constrained_matched_geometry,frozen,14029,3,top1_correct,True,3,72,0.04166666666666666,-0.20833333333333334,0.3333333333333333,3,2000,"{""1"": -0.20833333333333334, ""2"": 0.0, ""6"": 0.3333333333333333}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14029,3,normalized_regret,True,3,72,-0.013514253348765548,-0.09313456078241987,0.05259180073612322,3,2000,"{""1"": -0.09313456078241987, ""2"": 0.0, ""6"": 0.052591800736123226}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14029,3,weighted_pairwise_accuracy,True,3,72,-0.004726706959400945,-0.02229541220866903,0.016238966612145873,3,2000,"{""1"": -0.022295412208669034, ""2"": 0.016238966612145873, ""6"": -0.008123675281679673}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14029,3,top1_correct,True,3,72,-0.013888888888888886,-0.16666666666666666,0.125,3,2000,"{""1"": -0.16666666666666666, ""2"": 0.0, ""6"": 0.125}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14029,3,normalized_regret,True,3,72,-0.015769923817469413,-0.023705435263941182,-0.006173094168164135,3,2000,"{""1"": -0.023705435263941182, ""2"": -0.017431242020302933, ""6"": -0.006173094168164134}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14029,3,weighted_pairwise_accuracy,True,3,72,-0.017674067867258697,-0.03363792462657658,0.001972722973564295,3,2000,"{""1"": -0.03363792462657658, ""2"": 0.001972722973564295, ""6"": -0.0213570019487638}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14029,3,top1_correct,True,3,72,-0.027777777777777776,-0.20833333333333334,0.08333333333333333,3,2000,"{""1"": -0.20833333333333331, ""2"": 0.041666666666666664, ""6"": 0.08333333333333333}"
PushT,fidelity_constrained_matched_geometry,frozen,14029,6,normalized_regret,True,3,72,0.026095310238763464,-0.05827977862537378,0.14745427368239392,3,2000,"{""1"": 0.14745427368239392, ""2"": -0.05827977862537378, ""6"": -0.01088856434072974}"
PushT,fidelity_constrained_matched_geometry,frozen,14029,6,weighted_pairwise_accuracy,True,3,72,0.0031529379344301827,-0.04245816747354742,0.04939690001599282,3,2000,"{""1"": 0.0025200812608451436, ""2"": -0.04245816747354742, ""6"": 0.049396900015992826}"
PushT,fidelity_constrained_matched_geometry,frozen,14029,6,top1_correct,True,3,72,-0.08333333333333333,-0.25,0.0,3,2000,"{""1"": 0.0, ""2"": -0.25, ""6"": 0.0}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14029,6,normalized_regret,True,3,72,-0.004305993999131156,-0.012917981997393468,0.0,3,2000,"{""1"": 0.0, ""2"": -0.012917981997393468, ""6"": 0.0}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14029,6,weighted_pairwise_accuracy,True,3,72,0.009644133998594455,0.0070129432686297155,0.012055730662434002,3,2000,"{""1"": 0.0070129432686297155, ""2"": 0.012055730662434, ""6"": 0.009863728064719647}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,14029,6,top1_correct,True,3,72,-0.041666666666666664,-0.125,0.0,3,2000,"{""1"": 0.0, ""2"": -0.125, ""6"": 0.0}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14029,6,normalized_regret,True,3,72,0.06013594049833602,-0.042833381952042164,0.15522396565227004,3,2000,"{""1"": 0.15522396565227004, ""2"": 0.0680172377947802, ""6"": -0.042833381952042164}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,14029,6,weighted_pairwise_accuracy,True,3,72,0.008511562728925533,-0.023243215175632197,0.030359903308528596,3,2000,"{""1"": 0.018418000053880203, ""2"": -0.023243215175632197, ""6"": 0.030359903308528592}"
