environment,treatment,baseline,horizon,metric,positive_means_treatment_better,adaptation_seeds_averaged_within_task,estimate,low,high,n_tasks,n_bootstrap,task_means_json
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,6,top1_correct,True,3,-0.09722222222222221,-0.20833333333333334,0.0,3,2000,"{""1"": -0.20833333333333331, ""2"": 0.0, ""6"": -0.08333333333333333}"
Wall,fidelity_constrained_matched_geometry,frozen,1,normalized_regret,True,3,0.03212828435322839,-0.0038885932090403086,0.056005525577983106,3,2000,"{""1"": 0.056005525577983106, ""2"": -0.0038885932090403086, ""6"": 0.04426792069074237}"
Wall,fidelity_constrained_matched_geometry,frozen,1,weighted_pairwise_accuracy,True,3,0.027585976598890966,0.016186827014551312,0.042885365103833305,3,2000,"{""1"": 0.016186827014551312, ""2"": 0.02368573767828829, ""6"": 0.042885365103833305}"
Wall,fidelity_constrained_matched_geometry,frozen,1,top1_correct,True,3,0.041666666666666664,-0.125,0.25,3,2000,"{""1"": 0.0, ""2"": 0.25, ""6"": -0.125}"
Wall,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,1,normalized_regret,True,3,-0.05991849366172586,-0.09899944490974737,-0.006304607171094846,3,2000,"{""1"": -0.006304607171094845, ""2"": -0.09899944490974735, ""6"": -0.07445142890433538}"
Wall,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,1,weighted_pairwise_accuracy,True,3,-0.027141400616964375,-0.06565058288997642,0.014165543424359751,3,2000,"{""1"": -0.029939162385276444, ""2"": 0.014165543424359751, ""6"": -0.06565058288997642}"
Wall,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,1,top1_correct,True,3,-0.125,-0.375,0.0,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": -0.375}"
Wall,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,1,normalized_regret,True,3,0.004813119747257645,-0.03154992971201079,0.03902323161550281,3,2000,"{""1"": 0.006966057338280915, ""2"": -0.03154992971201079, ""6"": 0.03902323161550281}"
Wall,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,1,weighted_pairwise_accuracy,True,3,0.011895719771598786,-0.001729973291797528,0.01872369525259269,3,2000,"{""1"": -0.001729973291797528, ""2"": 0.018693437354001197, ""6"": 0.01872369525259269}"
Wall,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,1,top1_correct,True,3,0.05555555555555556,-0.125,0.20833333333333334,3,2000,"{""1"": 0.08333333333333333, ""2"": 0.20833333333333334, ""6"": -0.125}"
Wall,fidelity_constrained_matched_geometry,frozen,3,normalized_regret,True,3,-0.00943843694767661,-0.07108761742006084,0.06288968066090635,3,2000,"{""1"": 0.06288968066090635, ""2"": -0.020117374083875338, ""6"": -0.07108761742006084}"
Wall,fidelity_constrained_matched_geometry,frozen,3,weighted_pairwise_accuracy,True,3,0.054017704320521075,0.0020124016054853164,0.12101835190445591,3,2000,"{""1"": 0.1210183519044559, ""2"": 0.0020124016054853164, ""6"": 0.039022359451621996}"
Wall,fidelity_constrained_matched_geometry,frozen,3,top1_correct,True,3,0.055555555555555546,-0.125,0.29166666666666663,3,2000,"{""1"": 0.29166666666666663, ""2"": -0.125, ""6"": 0.0}"
Wall,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,3,normalized_regret,True,3,-0.0018876805760168955,-0.028499642435562005,0.021712054053534744,3,2000,"{""1"": 0.0011245466539765749, ""2"": 0.021712054053534744, ""6"": -0.028499642435562005}"
Wall,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,3,weighted_pairwise_accuracy,True,3,-0.016374664979328934,-0.07481679434911834,0.06409641106691238,3,2000,"{""1"": -0.03840361165578085, ""2"": 0.06409641106691238, ""6"": -0.07481679434911834}"
Wall,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,3,top1_correct,True,3,0.13888888888888887,0.0,0.29166666666666663,3,2000,"{""1"": 0.29166666666666663, ""2"": 0.125, ""6"": 0.0}"
