environment,model,state_id,task_id,variant,method,adaptation_seed,horizon,native_anchor
PushT,jepa_wm_pusht,54,6,frozen,frozen,-1,3,0.11596650630235672
PushT,jepa_wm_pusht,54,6,frozen,frozen,-1,6,0.13542601466178894
PushT,jepa_wm_pusht,55,6,frozen,frozen,-1,1,0.026073088869452477
PushT,jepa_wm_pusht,55,6,frozen,frozen,-1,3,0.05593234300613403
PushT,jepa_wm_pusht,55,6,frozen,frozen,-1,6,0.06148688495159149
PushT,jepa_wm_pusht,8,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.03057163767516613
PushT,jepa_wm_pusht,8,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.04482299089431763
PushT,jepa_wm_pusht,8,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.05260300263762474
PushT,jepa_wm_pusht,9,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.045825205743312836
PushT,jepa_wm_pusht,9,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.057460613548755646
PushT,jepa_wm_pusht,9,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.05595674365758896
PushT,jepa_wm_pusht,10,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.052619609981775284
PushT,jepa_wm_pusht,10,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.1038610190153122
PushT,jepa_wm_pusht,10,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.12358082085847855
PushT,jepa_wm_pusht,11,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.07619085907936096
PushT,jepa_wm_pusht,11,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.07005981355905533
PushT,jepa_wm_pusht,11,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.08054819703102112
PushT,jepa_wm_pusht,12,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.038473211228847504
PushT,jepa_wm_pusht,12,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.053160957992076874
PushT,jepa_wm_pusht,12,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.06635240465402603
PushT,jepa_wm_pusht,13,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.05112442374229431
PushT,jepa_wm_pusht,13,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.060244616121053696
PushT,jepa_wm_pusht,13,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.061041269451379776
PushT,jepa_wm_pusht,14,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.015112423337996006
