environment,model,state_id,task_id,evaluation_seed,split,variant,method,adaptation_seed,projection_seed,horizon,normalized_regret,weighted_pairwise_accuracy,top1_correct,normalized_margin_rmse,pose_error,selected_action,oracle_action,selected_is_null
PushT,jepa_wm_pusht,8,1,913,development_holdout,frozen,frozen,-1,15001,1,0.0,0.9115676431105927,1.0,2.1490241665377305,0.0767970071449087,1,1,0
PushT,jepa_wm_pusht,8,1,913,development_holdout,frozen,frozen,-1,15001,3,0.008427652349288942,0.7708400045270061,0.0,1.2816006951797627,0.07950217375676052,4,6,0
PushT,jepa_wm_pusht,8,1,913,development_holdout,frozen,frozen,-1,15001,6,0.06384650595620604,0.2851839349182708,0.0,1.6405769751102093,0.1340282155207775,6,1,0
PushT,jepa_wm_pusht,9,1,1297,development_holdout,frozen,frozen,-1,15001,1,0.0,0.6053758568158468,1.0,2.3581750005997213,0.061899688119777155,1,0,0
PushT,jepa_wm_pusht,9,1,1297,development_holdout,frozen,frozen,-1,15001,3,0.7286493483691098,0.2789983461598349,0.0,1.4890083765534718,0.11369831441026121,7,2,0
PushT,jepa_wm_pusht,9,1,1297,development_holdout,frozen,frozen,-1,15001,6,1.0,0.4359302240982682,0.0,1.2253266775354117,0.12295896245360298,9,3,0
PushT,jepa_wm_pusht,10,1,1709,development_holdout,frozen,frozen,-1,15001,1,0.620166319521398,0.2921140154986053,0.0,1.4241906684457424,0.09495111725430734,6,1,0
PushT,jepa_wm_pusht,10,1,1709,development_holdout,frozen,frozen,-1,15001,3,0.0,0.8035859964086213,1.0,1.0876758178850896,0.08519973072450016,6,6,0
PushT,jepa_wm_pusht,10,1,1709,development_holdout,frozen,frozen,-1,15001,6,0.6789019354624969,0.5530956210265955,0.0,1.8098873717115826,0.11386899039104699,2,6,0
PushT,jepa_wm_pusht,11,1,913,development_holdout,frozen,frozen,-1,15001,1,0.41336878890994966,0.5857850506683486,0.0,2.17631763505349,0.048863587767765296,5,7,0
PushT,jepa_wm_pusht,11,1,913,development_holdout,frozen,frozen,-1,15001,3,0.0,0.8725008186937325,1.0,0.55949703154953,0.06183657256638457,6,6,0
PushT,jepa_wm_pusht,11,1,913,development_holdout,frozen,frozen,-1,15001,6,1.0,0.3434317673906013,0.0,1.385582640234563,0.14209621215290996,3,6,0
PushT,jepa_wm_pusht,12,1,1297,development_holdout,frozen,frozen,-1,15001,1,1.0,0.06199948978948887,0.0,1.4241924076990051,0.19199888698673478,9,6,0
PushT,jepa_wm_pusht,12,1,1297,development_holdout,frozen,frozen,-1,15001,3,0.0,0.5956714295759878,1.0,0.9944691047173952,0.13387767531776665,4,4,0
PushT,jepa_wm_pusht,12,1,1297,development_holdout,frozen,frozen,-1,15001,6,0.01885074951463251,0.8896939412250059,0.0,0.718552692264407,0.12016436868966571,4,2,0
PushT,jepa_wm_pusht,13,1,1709,development_holdout,frozen,frozen,-1,15001,1,0.9488516591828323,0.03026845012152947,0.0,1.8464755708206395,0.08345829304845677,0,6,1
PushT,jepa_wm_pusht,13,1,1709,development_holdout,frozen,frozen,-1,15001,3,0.0,0.8757524589298978,1.0,0.7464396973068389,0.08100894304921372,2,2,0
PushT,jepa_wm_pusht,13,1,1709,development_holdout,frozen,frozen,-1,15001,6,0.13238746966896506,0.8300046947094379,0.0,0.7979457319398733,0.1275891031018921,6,2,0
PushT,jepa_wm_pusht,14,1,913,development_holdout,frozen,frozen,-1,15001,1,0.0,nan,1.0,nan,0.09273737214121977,4,0,0
PushT,jepa_wm_pusht,14,1,913,development_holdout,frozen,frozen,-1,15001,3,0.22439910568143512,0.8271480533644316,0.0,0.8647521491843755,0.05075243794898383,5,2,0
PushT,jepa_wm_pusht,14,1,913,development_holdout,frozen,frozen,-1,15001,6,0.0,0.955098294142873,1.0,0.5897266288293123,0.06613805073738628,2,2,0
PushT,jepa_wm_pusht,15,1,1297,development_holdout,frozen,frozen,-1,15001,1,0.0,nan,1.0,nan,0.042365268451633596,6,0,0
PushT,jepa_wm_pusht,15,1,1297,development_holdout,frozen,frozen,-1,15001,3,0.37058248588976106,0.5534102535472304,0.0,1.2360736737301896,0.05773327512034833,1,2,0
PushT,jepa_wm_pusht,15,1,1297,development_holdout,frozen,frozen,-1,15001,6,0.0,0.9604003320605817,1.0,0.6499691291562115,0.07044919293685852,3,3,0
PushT,jepa_wm_pusht,16,2,913,development_holdout,frozen,frozen,-1,15001,1,0.04667333317829818,0.9075746828846182,0.0,0.6175195220082229,0.055661890854585984,6,4,0
PushT,jepa_wm_pusht,16,2,913,development_holdout,frozen,frozen,-1,15001,3,0.0,0.868033990213983,1.0,1.0677963379640476,0.13955306693760708,6,6,0
PushT,jepa_wm_pusht,16,2,913,development_holdout,frozen,frozen,-1,15001,6,0.0,0.5105958252466303,1.0,1.00788736483998,0.16803540090291233,6,6,0
PushT,jepa_wm_pusht,17,2,1297,development_holdout,frozen,frozen,-1,15001,1,0.0,nan,1.0,nan,0.07597095816390702,8,0,0
PushT,jepa_wm_pusht,17,2,1297,development_holdout,frozen,frozen,-1,15001,3,0.5789271149086822,0.7279380265827744,0.0,2.0849117900403344,0.0828828743253967,4,2,0
PushT,jepa_wm_pusht,17,2,1297,development_holdout,frozen,frozen,-1,15001,6,0.27989109651126526,0.8348254803319192,0.0,1.0212720083151308,0.09685117813199254,2,3,0
PushT,jepa_wm_pusht,18,2,1709,development_holdout,frozen,frozen,-1,15001,1,0.0,nan,1.0,nan,0.11498672580670488,4,0,0
PushT,jepa_wm_pusht,18,2,1709,development_holdout,frozen,frozen,-1,15001,3,0.44201480759003287,0.25278592777053904,0.0,2.2521027688351016,0.12620029223528853,5,2,0
PushT,jepa_wm_pusht,18,2,1709,development_holdout,frozen,frozen,-1,15001,6,0.36289437302384253,0.4926434341293111,0.0,1.303960517787093,0.11979870836224911,5,2,0
PushT,jepa_wm_pusht,19,2,913,development_holdout,frozen,frozen,-1,15001,1,1.0,0.31192676103462597,0.0,2.065436460366393,0.05152728888167339,6,7,0
