environment,method,adaptation_seed,projection_seed,horizon,metric,estimate,low,high,n_tasks,n_bootstrap,task_means_json
PushT,fidelity_constrained_latent_only,11419,15001,3,top1_correct,0.375,0.25,0.5,3,2000,"{""1"": 0.375, ""2"": 0.25, ""6"": 0.5}"
PushT,fidelity_constrained_latent_only,11419,15001,3,normalized_margin_rmse,1.1644997711813665,0.9356591506114073,1.5092311930870264,3,2000,"{""1"": 1.048608969845666, ""2"": 1.5092311930870264, ""6"": 0.9356591506114073}"
PushT,fidelity_constrained_latent_only,11419,15001,3,pose_error,0.09488066268621494,0.08281945230911716,0.11800663387948378,3,2000,"{""1"": 0.08381590187004394, ""2"": 0.11800663387948376, ""6"": 0.08281945230911716}"
PushT,fidelity_constrained_latent_only,11419,15001,3,selected_is_null,0.0,0.0,0.0,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": 0.0}"
PushT,fidelity_constrained_latent_only,11419,15001,6,normalized_regret,0.21912344691175875,0.03941563946036687,0.38479144784406755,3,2000,"{""1"": 0.38479144784406755, ""2"": 0.23316325343084185, ""6"": 0.03941563946036687}"
PushT,fidelity_constrained_latent_only,11419,15001,6,weighted_pairwise_accuracy,0.7163667362694291,0.6334381623174219,0.8689019408962779,3,2000,"{""1"": 0.6334381623174219, ""2"": 0.6467601055945874, ""6"": 0.8689019408962779}"
PushT,fidelity_constrained_latent_only,11419,15001,6,top1_correct,0.4166666666666667,0.25,0.75,3,2000,"{""1"": 0.25, ""2"": 0.25, ""6"": 0.75}"
PushT,fidelity_constrained_latent_only,11419,15001,6,normalized_margin_rmse,1.064273467447921,0.8921043545660355,1.1964753102432961,3,2000,"{""1"": 1.104240737534432, ""2"": 1.1964753102432961, ""6"": 0.8921043545660355}"
PushT,fidelity_constrained_latent_only,11419,15001,6,pose_error,0.12300099822633516,0.11432972540725524,0.14001268722298343,3,2000,"{""1"": 0.11432972540725525, ""2"": 0.14001268722298343, ""6"": 0.11466058204876678}"
PushT,fidelity_constrained_latent_only,11419,15001,6,selected_is_null,0.0,0.0,0.0,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": 0.0}"
PushT,fidelity_constrained_latent_only,11437,15001,1,normalized_regret,0.2827719264012551,0.12273108559300601,0.38773911922615634,3,2000,"{""1"": 0.38773911922615634, ""2"": 0.33784557438460283, ""6"": 0.12273108559300602}"
PushT,fidelity_constrained_latent_only,11437,15001,1,weighted_pairwise_accuracy,0.5388375144844074,0.46384556738461646,0.659614611001623,3,2000,"{""1"": 0.46384556738461646, ""2"": 0.49305236506698263, ""6"": 0.659614611001623}"
PushT,fidelity_constrained_latent_only,11437,15001,1,top1_correct,0.4166666666666667,0.375,0.5,3,2000,"{""1"": 0.375, ""2"": 0.375, ""6"": 0.5}"
PushT,fidelity_constrained_latent_only,11437,15001,1,normalized_margin_rmse,3.906690884375189,1.598306055351422,6.939907303037647,3,2000,"{""1"": 1.598306055351422, ""2"": 6.939907303037648, ""6"": 3.1818592947364954}"
PushT,fidelity_constrained_latent_only,11437,15001,1,pose_error,0.08118178183054188,0.0674706734170552,0.08818139724302669,3,2000,"{""1"": 0.08818139724302668, ""2"": 0.08789327483154374, ""6"": 0.0674706734170552}"
