environment,model,state_id,task_id,variant,method,adaptation_seed,horizon,normalized_regret,weighted_pairwise_accuracy,top1_correct,selected_action,oracle_action
PushT,jepa_wm_pusht,48,6,frozen,frozen,-1,3,0.03292797551033872,0.8026387496899144,0.0,7,5
PushT,jepa_wm_pusht,48,6,frozen,frozen,-1,6,0.0,0.9131311431584099,1.0,5,5
PushT,jepa_wm_pusht,49,6,frozen,frozen,-1,1,1.0,0.157876410526368,0.0,8,5
PushT,jepa_wm_pusht,49,6,frozen,frozen,-1,3,0.0,0.9036693536112518,1.0,5,5
PushT,jepa_wm_pusht,49,6,frozen,frozen,-1,6,0.0,0.9186981442443275,1.0,5,5
PushT,jepa_wm_pusht,50,6,frozen,frozen,-1,1,0.026574968337305327,0.7851432287012197,0.0,4,1
PushT,jepa_wm_pusht,50,6,frozen,frozen,-1,3,0.0,0.9921484727009531,1.0,2,2
PushT,jepa_wm_pusht,50,6,frozen,frozen,-1,6,0.19887118635918416,0.8339630458363178,0.0,1,2
PushT,jepa_wm_pusht,51,6,frozen,frozen,-1,1,0.3905729249325504,0.7278390119008307,0.0,5,9
PushT,jepa_wm_pusht,51,6,frozen,frozen,-1,3,0.9553730609169209,0.38103835528575747,0.0,0,9
PushT,jepa_wm_pusht,51,6,frozen,frozen,-1,6,0.8472560153227433,0.7294760447305756,0.0,3,9
PushT,jepa_wm_pusht,52,6,frozen,frozen,-1,1,0.0,0.6666666666666666,1.0,1,0
PushT,jepa_wm_pusht,52,6,frozen,frozen,-1,3,0.3477543489605677,0.39887962947602984,0.0,4,2
PushT,jepa_wm_pusht,52,6,frozen,frozen,-1,6,1.0,0.4127496191968014,0.0,6,3
PushT,jepa_wm_pusht,53,6,frozen,frozen,-1,1,0.0,0.48988012364937766,1.0,9,9
PushT,jepa_wm_pusht,53,6,frozen,frozen,-1,3,0.0,0.9698544596009091,1.0,5,5
PushT,jepa_wm_pusht,53,6,frozen,frozen,-1,6,0.0,0.8940601405197657,1.0,5,5
PushT,jepa_wm_pusht,54,6,frozen,frozen,-1,1,0.5144474869020803,0.8330901466770251,0.0,7,4
PushT,jepa_wm_pusht,54,6,frozen,frozen,-1,3,0.3056015488280241,0.7874085754631294,0.0,6,4
PushT,jepa_wm_pusht,54,6,frozen,frozen,-1,6,0.0,0.8567130329659911,1.0,4,4
PushT,jepa_wm_pusht,55,6,frozen,frozen,-1,1,1.0,0.0,0.0,6,0
PushT,jepa_wm_pusht,55,6,frozen,frozen,-1,3,1.0,0.1928833415674835,0.0,6,8
PushT,jepa_wm_pusht,55,6,frozen,frozen,-1,6,1.0,0.3132787488924417,0.0,6,3
PushT,jepa_wm_pusht,8,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.01282478008355127,0.8882608281952827,0.0,6,1
PushT,jepa_wm_pusht,8,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.0,0.6514399473549798,1.0,6,6
PushT,jepa_wm_pusht,8,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.5781148528381919,0.22582231298718328,0.0,8,1
PushT,jepa_wm_pusht,9,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.8274135674934155,0.010384531390538817,0.0,7,0
PushT,jepa_wm_pusht,9,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.7286493483691098,0.0914810514534828,0.0,7,2
PushT,jepa_wm_pusht,9,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.8502269524673542,0.26678889987299126,0.0,7,3
PushT,jepa_wm_pusht,10,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.12049358852617963,0.9787368933195569,0.0,4,1
PushT,jepa_wm_pusht,10,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.6177998268323661,0.8061538045644067,0.0,2,6
PushT,jepa_wm_pusht,10,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.6789019354624969,0.5283569538556676,0.0,3,6
PushT,jepa_wm_pusht,11,1,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.49698986494663716,0.32932717087006264,0.0,8,7
