environment,model,state_id,task_id,method,variant,adaptation_seed,projection_seed,horizon,whitened_geometry_rmse
PushT,jepa_wm_pusht,8,1,frozen,frozen,-1,15001,1,0.976044984000525
PushT,jepa_wm_pusht,8,1,frozen,frozen,-1,15001,3,0.8578299782374899
PushT,jepa_wm_pusht,8,1,frozen,frozen,-1,15001,6,0.7907298598604706
PushT,jepa_wm_pusht,9,1,frozen,frozen,-1,15001,1,1.1709819525932688
PushT,jepa_wm_pusht,9,1,frozen,frozen,-1,15001,3,0.9361689367345283
PushT,jepa_wm_pusht,9,1,frozen,frozen,-1,15001,6,0.8689102263577568
PushT,jepa_wm_pusht,10,1,frozen,frozen,-1,15001,1,1.452050544438942
PushT,jepa_wm_pusht,10,1,frozen,frozen,-1,15001,3,1.1643791848711846
PushT,jepa_wm_pusht,10,1,frozen,frozen,-1,15001,6,1.0904536620791296
PushT,jepa_wm_pusht,11,1,frozen,frozen,-1,15001,1,1.4933491843079583
PushT,jepa_wm_pusht,11,1,frozen,frozen,-1,15001,3,0.8960791082582387
PushT,jepa_wm_pusht,11,1,frozen,frozen,-1,15001,6,0.8895165658346462
PushT,jepa_wm_pusht,12,1,frozen,frozen,-1,15001,1,1.173650126055401
PushT,jepa_wm_pusht,12,1,frozen,frozen,-1,15001,3,0.880304213505641
PushT,jepa_wm_pusht,12,1,frozen,frozen,-1,15001,6,0.7567030782477608
PushT,jepa_wm_pusht,13,1,frozen,frozen,-1,15001,1,1.2784422023831634
PushT,jepa_wm_pusht,13,1,frozen,frozen,-1,15001,3,0.8805899484201425
PushT,jepa_wm_pusht,13,1,frozen,frozen,-1,15001,6,0.8039396614314563
PushT,jepa_wm_pusht,14,1,frozen,frozen,-1,15001,1,0.48855878126283303
PushT,jepa_wm_pusht,14,1,frozen,frozen,-1,15001,3,0.6094585956086589
PushT,jepa_wm_pusht,14,1,frozen,frozen,-1,15001,6,0.7355419872456787
PushT,jepa_wm_pusht,15,1,frozen,frozen,-1,15001,1,0.5631917512152781
PushT,jepa_wm_pusht,15,1,frozen,frozen,-1,15001,3,0.719159423243449
PushT,jepa_wm_pusht,15,1,frozen,frozen,-1,15001,6,0.7610603849320827
PushT,jepa_wm_pusht,16,2,frozen,frozen,-1,15001,1,1.334945848197396
PushT,jepa_wm_pusht,16,2,frozen,frozen,-1,15001,3,1.1042662797737441
PushT,jepa_wm_pusht,16,2,frozen,frozen,-1,15001,6,1.0940143851209192
PushT,jepa_wm_pusht,17,2,frozen,frozen,-1,15001,1,0.6449850973071259
PushT,jepa_wm_pusht,17,2,frozen,frozen,-1,15001,3,0.8388974420351561
PushT,jepa_wm_pusht,17,2,frozen,frozen,-1,15001,6,0.8522993224469263
PushT,jepa_wm_pusht,18,2,frozen,frozen,-1,15001,1,0.5545992214222782
PushT,jepa_wm_pusht,18,2,frozen,frozen,-1,15001,3,0.650502713581379
PushT,jepa_wm_pusht,18,2,frozen,frozen,-1,15001,6,0.7555546605389879
PushT,jepa_wm_pusht,19,2,frozen,frozen,-1,15001,1,0.776325612025991
PushT,jepa_wm_pusht,19,2,frozen,frozen,-1,15001,3,0.6852945826352251
PushT,jepa_wm_pusht,19,2,frozen,frozen,-1,15001,6,0.6716265971943671
PushT,jepa_wm_pusht,20,2,frozen,frozen,-1,15001,1,1.0367402772028391
PushT,jepa_wm_pusht,20,2,frozen,frozen,-1,15001,3,0.77902625835239
PushT,jepa_wm_pusht,20,2,frozen,frozen,-1,15001,6,0.8743380145833226
PushT,jepa_wm_pusht,21,2,frozen,frozen,-1,15001,1,0.6194161488131107
PushT,jepa_wm_pusht,21,2,frozen,frozen,-1,15001,3,0.8097301699908055
PushT,jepa_wm_pusht,21,2,frozen,frozen,-1,15001,6,0.8718140315864696
PushT,jepa_wm_pusht,22,2,frozen,frozen,-1,15001,1,0.7080029027244971
PushT,jepa_wm_pusht,22,2,frozen,frozen,-1,15001,3,0.8809033726158749
PushT,jepa_wm_pusht,22,2,frozen,frozen,-1,15001,6,0.804150851930922
PushT,jepa_wm_pusht,23,2,frozen,frozen,-1,15001,1,0.8780413426907131
PushT,jepa_wm_pusht,23,2,frozen,frozen,-1,15001,3,0.6269272492058352
PushT,jepa_wm_pusht,23,2,frozen,frozen,-1,15001,6,0.6860725874258841
PushT,jepa_wm_pusht,48,6,frozen,frozen,-1,15001,1,1.6147905106943212
PushT,jepa_wm_pusht,48,6,frozen,frozen,-1,15001,3,0.8393118700202342
PushT,jepa_wm_pusht,48,6,frozen,frozen,-1,15001,6,0.7896308138083039
PushT,jepa_wm_pusht,49,6,frozen,frozen,-1,15001,1,1.2439866517412699
PushT,jepa_wm_pusht,49,6,frozen,frozen,-1,15001,3,0.801830878654213
PushT,jepa_wm_pusht,49,6,frozen,frozen,-1,15001,6,0.7008377329973755
PushT,jepa_wm_pusht,50,6,frozen,frozen,-1,15001,1,1.072965319733613
PushT,jepa_wm_pusht,50,6,frozen,frozen,-1,15001,3,0.8253669527498566
PushT,jepa_wm_pusht,50,6,frozen,frozen,-1,15001,6,0.9984302552315424
PushT,jepa_wm_pusht,51,6,frozen,frozen,-1,15001,1,1.167302451706729
PushT,jepa_wm_pusht,51,6,frozen,frozen,-1,15001,3,0.7602226505264931
PushT,jepa_wm_pusht,51,6,frozen,frozen,-1,15001,6,0.6718320336231244
PushT,jepa_wm_pusht,52,6,frozen,frozen,-1,15001,1,0.7301955707026114
PushT,jepa_wm_pusht,52,6,frozen,frozen,-1,15001,3,0.6661643750257839
PushT,jepa_wm_pusht,52,6,frozen,frozen,-1,15001,6,0.6776553835533871
PushT,jepa_wm_pusht,53,6,frozen,frozen,-1,15001,1,1.0206659910397098
PushT,jepa_wm_pusht,53,6,frozen,frozen,-1,15001,3,0.7083346922331663
PushT,jepa_wm_pusht,53,6,frozen,frozen,-1,15001,6,0.7886074524020925
PushT,jepa_wm_pusht,54,6,frozen,frozen,-1,15001,1,1.5594725431178804
PushT,jepa_wm_pusht,54,6,frozen,frozen,-1,15001,3,1.1811721347682527
PushT,jepa_wm_pusht,54,6,frozen,frozen,-1,15001,6,1.211423477347338
PushT,jepa_wm_pusht,55,6,frozen,frozen,-1,15001,1,0.7243063742951485
PushT,jepa_wm_pusht,55,6,frozen,frozen,-1,15001,3,0.7822282383180558
PushT,jepa_wm_pusht,55,6,frozen,frozen,-1,15001,6,0.7436003114799692
PushT,jepa_wm_pusht,8,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,0.9700192905843913
PushT,jepa_wm_pusht,8,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,0.8190949495753037
PushT,jepa_wm_pusht,8,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,0.7107671461656114
PushT,jepa_wm_pusht,9,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,1.190511990178083
PushT,jepa_wm_pusht,9,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,0.9127172096539644
PushT,jepa_wm_pusht,9,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,0.7863623510709133
PushT,jepa_wm_pusht,10,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,1.415974254477724
PushT,jepa_wm_pusht,10,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,1.1534859830527995
PushT,jepa_wm_pusht,10,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,1.0866433229009937
PushT,jepa_wm_pusht,11,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,1.4843780101095103
PushT,jepa_wm_pusht,11,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,0.9182738901953791
PushT,jepa_wm_pusht,11,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,0.8833432564422441
PushT,jepa_wm_pusht,12,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,1.1942451720123755
PushT,jepa_wm_pusht,12,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,0.8820716534193966
PushT,jepa_wm_pusht,12,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,0.7891390958719892
PushT,jepa_wm_pusht,13,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,1.2578785555134993
PushT,jepa_wm_pusht,13,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,0.8330599051544157
PushT,jepa_wm_pusht,13,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,0.7729477287497907
PushT,jepa_wm_pusht,14,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,0.4885766227374528
PushT,jepa_wm_pusht,14,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,0.594923801262421
PushT,jepa_wm_pusht,14,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,0.6420494234456149
PushT,jepa_wm_pusht,15,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,0.5736581769800899
PushT,jepa_wm_pusht,15,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,0.703771887261804
PushT,jepa_wm_pusht,15,1,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,0.6966948174197107
PushT,jepa_wm_pusht,16,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,1.3077503237105763
PushT,jepa_wm_pusht,16,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,1.0469540777050328
PushT,jepa_wm_pusht,16,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,1.0174052978130788
PushT,jepa_wm_pusht,17,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,0.6338659781101935
PushT,jepa_wm_pusht,17,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,0.8230512480650346
PushT,jepa_wm_pusht,17,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,0.8189988280562462
PushT,jepa_wm_pusht,18,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,0.5562760801135408
PushT,jepa_wm_pusht,18,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,0.6361334442404941
PushT,jepa_wm_pusht,18,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,0.6777061811623611
PushT,jepa_wm_pusht,19,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,0.7861036177665512
PushT,jepa_wm_pusht,19,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,0.6638603772214664
PushT,jepa_wm_pusht,19,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,0.6298534650068311
PushT,jepa_wm_pusht,20,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,1.0229890617624104
PushT,jepa_wm_pusht,20,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,0.7558201813455511
PushT,jepa_wm_pusht,20,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,0.7916841922732517
PushT,jepa_wm_pusht,21,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,0.6114111521496011
PushT,jepa_wm_pusht,21,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,0.7776175849196987
PushT,jepa_wm_pusht,21,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,0.7964813343590915
PushT,jepa_wm_pusht,22,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,0.6761442037297734
PushT,jepa_wm_pusht,22,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,0.8388730586840322
PushT,jepa_wm_pusht,22,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,0.7165050652729721
PushT,jepa_wm_pusht,23,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,0.8645177277127829
PushT,jepa_wm_pusht,23,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,0.6159748863012974
PushT,jepa_wm_pusht,23,2,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,0.6692684832303295
PushT,jepa_wm_pusht,48,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,1.6004017744658319
PushT,jepa_wm_pusht,48,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,0.8584608492448507
PushT,jepa_wm_pusht,48,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,0.7786139553336482
PushT,jepa_wm_pusht,49,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,1.2250445060217128
PushT,jepa_wm_pusht,49,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,0.7928068680013908
PushT,jepa_wm_pusht,49,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,0.6295140136563411
PushT,jepa_wm_pusht,50,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,1.0614196711842492
PushT,jepa_wm_pusht,50,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,0.7962589136152375
PushT,jepa_wm_pusht,50,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,0.8678735525096926
PushT,jepa_wm_pusht,51,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,1.1772203265640873
PushT,jepa_wm_pusht,51,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,0.7814880358226398
PushT,jepa_wm_pusht,51,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,0.6862906967694314
PushT,jepa_wm_pusht,52,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,0.6942573972875145
PushT,jepa_wm_pusht,52,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,0.6561282196524656
PushT,jepa_wm_pusht,52,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,0.6585004432273311
PushT,jepa_wm_pusht,53,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,1.0112482148831703
PushT,jepa_wm_pusht,53,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,0.6929558455310767
PushT,jepa_wm_pusht,53,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,0.7413499754814256
PushT,jepa_wm_pusht,54,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,1.5771980612402927
PushT,jepa_wm_pusht,54,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,1.1792094929241606
PushT,jepa_wm_pusht,54,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,1.196533563013115
PushT,jepa_wm_pusht,55,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,1,0.7122440919102699
PushT,jepa_wm_pusht,55,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,3,0.8193383083131641
PushT,jepa_wm_pusht,55,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,15001,6,0.7320018212634136
PushT,jepa_wm_pusht,8,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,15001,1,0.9756169241857099
PushT,jepa_wm_pusht,8,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,15001,3,0.8506805896522553
PushT,jepa_wm_pusht,8,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,15001,6,0.7614170290251532
PushT,jepa_wm_pusht,9,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,15001,1,1.2127635377604165
PushT,jepa_wm_pusht,9,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,15001,3,0.9349650550253847
PushT,jepa_wm_pusht,9,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,15001,6,0.7918212662727885
PushT,jepa_wm_pusht,10,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,15001,1,1.4224994350544755
