environment,treatment,baseline,projection_seed,horizon,metric,positive_means_treatment_better,adaptation_seeds_averaged_within_task,paired_state_seed_rows,estimate,low,high,n_tasks,n_bootstrap,task_means_json
PushT,fidelity_constrained_matched_geometry,frozen,15001,1,normalized_regret,True,3,72,0.032802612375626566,-0.004754849059233686,0.10316268618611339,3,2000,"{""1"": -0.004754849059233686, ""2"": 0.0, ""6"": 0.10316268618611338}"
PushT,fidelity_constrained_matched_geometry,frozen,15001,1,weighted_pairwise_accuracy,True,3,57,0.05910913800141962,0.0362931987333361,0.07072247827388632,3,2000,"{""1"": 0.07072247827388632, ""2"": 0.0362931987333361, ""6"": 0.07031173699703644}"
PushT,fidelity_constrained_matched_geometry,frozen,15001,1,top1_correct,True,3,72,0.0,0.0,0.0,3,2000,"{""1"": 0.0, ""2"": 0.0, ""6"": 0.0}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,15001,1,normalized_regret,True,3,72,-0.0027949352252855824,-0.018570729891006926,0.010185924215150178,3,2000,"{""1"": 0.010185924215150178, ""2"": -0.018570729891006926, ""6"": 0.0}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,15001,1,weighted_pairwise_accuracy,True,3,57,0.0292413083771918,0.01941403547384679,0.034751575042341595,3,2000,"{""1"": 0.033558314615387004, ""2"": 0.01941403547384679, ""6"": 0.034751575042341595}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_latent_only,15001,1,top1_correct,True,3,72,0.041666666666666664,0.0,0.125,3,2000,"{""1"": 0.125, ""2"": 0.0, ""6"": 0.0}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,15001,1,normalized_regret,True,3,72,0.009574658461143963,-0.018570729891006926,0.04312775732285706,3,2000,"{""1"": 0.004166947951581753, ""2"": -0.018570729891006926, ""6"": 0.04312775732285706}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,15001,1,weighted_pairwise_accuracy,True,3,57,0.019889579634476785,-0.05637792951286286,0.07617549481999901,3,2000,"{""1"": 0.07617549481999901, ""2"": -0.05637792951286286, ""6"": 0.039871173596294204}"
PushT,fidelity_constrained_matched_geometry,fidelity_constrained_shuffled_geometry,15001,1,top1_correct,True,3,72,0.027777777777777776,0.0,0.08333333333333333,3,2000,"{""1"": 0.08333333333333333, ""2"": 0.0, ""6"": 0.0}"
PushT,fidelity_constrained_matched_geometry,frozen,15001,3,normalized_regret,True,3,72,-0.0268023730699419,-0.046921549810809544,0.010686658945649458,3,2000,"{""1"": -0.046921549810809544, ""2"": 0.010686658945649458, ""6"": -0.04417222834466561}"
