model,ridge,held_out_group,mse
countsketch_15187,0.001,6,0.48925601795192847
countsketch_15187,0.001,mean,1.3317959663807215
countsketch_15187,0.01,0,1.0592006713022903
countsketch_15187,0.01,2,1.5420178134634956
countsketch_15187,0.01,4,2.208368184024612
countsketch_15187,0.01,6,0.4907261187841772
countsketch_15187,0.01,mean,1.325078196893644
countsketch_15187,0.1,0,1.031234867951959
countsketch_15187,0.1,2,1.4952249466599625
countsketch_15187,0.1,4,2.0682174815221903
countsketch_15187,0.1,6,0.5020563184605441
countsketch_15187,0.1,mean,1.274183403648664
countsketch_15187,1.0,0,0.9777984612461182
countsketch_15187,1.0,2,1.3176589030482528
countsketch_15187,1.0,4,1.7237742629590853
countsketch_15187,1.0,6,0.5258123320520531
countsketch_15187,1.0,mean,1.1362609898263774
countsketch_15187,10.0,0,0.8400079941963624
countsketch_15187,10.0,2,1.2662298373377017
countsketch_15187,10.0,4,1.5751065276320158
countsketch_15187,10.0,6,0.5405242437532276
countsketch_15187,10.0,mean,1.0554671507298268
countsketch_15187,100.0,0,0.789102995242414
countsketch_15187,100.0,2,1.2984109991461485
countsketch_15187,100.0,4,1.5896891993317066
countsketch_15187,100.0,6,0.5834279264602386
countsketch_15187,100.0,mean,1.0651577800451268
countsketch_15187,1000.0,0,0.9122154602084851
countsketch_15187,1000.0,2,1.3159004595773007
countsketch_15187,1000.0,4,1.6639084395880794
countsketch_15187,1000.0,6,0.6392801607752524
countsketch_15187,1000.0,mean,1.1328261300372795
countsketch_15187,10000.0,0,1.0964148777794633
countsketch_15187,10000.0,2,1.350625322047153
countsketch_15187,10000.0,4,1.8750660042501544
countsketch_15187,10000.0,6,0.8351291144526529
countsketch_15187,10000.0,mean,1.2893088296323558
countsketch_15187,100000.0,0,1.387941779885509
countsketch_15187,100000.0,2,1.5871645807326127
countsketch_15187,100000.0,4,2.136312461678696
countsketch_15187,100000.0,6,1.250024441190322
countsketch_15187,100000.0,mean,1.590360815871785
countsketch_15187,1000000.0,0,1.4917550644171567
countsketch_15187,1000000.0,2,1.7021647152589343
countsketch_15187,1000000.0,4,2.2232769929427336
countsketch_15187,1000000.0,6,1.4121695073757226
countsketch_15187,1000000.0,mean,1.7073415699986367
countsketch_1152_15161,0.0001,0,0.7790436601983527
countsketch_1152_15161,0.0001,2,1.0943554289657698
countsketch_1152_15161,0.0001,4,1.5754456864656134
countsketch_1152_15161,0.0001,6,0.633681455700993
countsketch_1152_15161,0.0001,mean,1.0206315578326821
countsketch_1152_15161,0.001,0,0.779025546306304
countsketch_1152_15161,0.001,2,1.0943696203633066
countsketch_1152_15161,0.001,4,1.57543176167351
countsketch_1152_15161,0.001,6,0.6336581497526201
countsketch_1152_15161,0.001,mean,1.0206212695239354
countsketch_1152_15161,0.01,0,0.7788462117011223
countsketch_1152_15161,0.01,2,1.0945186065229187
countsketch_1152_15161,0.01,4,1.5752934056089642
countsketch_1152_15161,0.01,6,0.633427859043934
countsketch_1152_15161,0.01,mean,1.0205215207192349
countsketch_1152_15161,0.1,0,0.7771873839643876
countsketch_1152_15161,0.1,2,1.0965147434869376
countsketch_1152_15161,0.1,4,1.5739966710932929
countsketch_1152_15161,0.1,6,0.631346578473781
countsketch_1152_15161,0.1,mean,1.0197613442545996
countsketch_1152_15161,1.0,0,0.7661467735995863
countsketch_1152_15161,1.0,2,1.1208562691819182
countsketch_1152_15161,1.0,4,1.56637856072917
countsketch_1152_15161,1.0,6,0.6187033121650002
