record_id,trajectory_id,time_index,split,sample_index,agent_pixel_error,agent_patch_error,block_pixel_centroid_offset,block_patch_centroid_offset,agent_patch_support,block_patch_support
0,0,0,construction,0,0.001046405766521879,0.006946668435782354,0.08130635614028425,0.08097321394279881,2,16
0,0,0,construction,1,0.00097822733732915,0.006964129882865991,0.08106096504373425,0.08075819466138603,2,16
0,0,0,construction,2,0.0009735152194564083,0.006206767874334107,0.0820608957027955,0.08151369226100279,2,15
0,0,0,construction,3,0.00099174240306339,0.006515745500262243,0.0820608957027955,0.08151369226100279,3,15
0,0,0,construction,4,0.0011386122217240807,0.0069011450646126685,0.08160881955375845,0.08225299651768211,3,15
0,0,0,construction,5,0.0009648235202354689,0.007153941385886358,0.08171690001998326,0.08132414068121438,3,15
0,0,0,construction,6,0.0008254217029865014,0.006199035825188021,0.0826786126366745,0.08223055311123915,2,15
0,0,0,construction,7,0.0010612643651521632,0.005963446680415536,0.08278271836496078,0.08230961187904311,2,15
0,0,0,construction,8,0.0008255876700381848,0.005279260392432954,0.08165577067979111,0.08181767496707067,2,15
0,0,0,construction,9,0.0008289646138364704,0.004414033894986051,0.08182757631792315,0.08279605114229824,2,14
0,0,0,construction,10,0.001464072121984862,0.007178731906767991,0.08162399506218118,0.08097914810890672,3,15
0,0,0,construction,11,0.0006572007699667268,0.00615052832694646,0.0813873612831339,0.08097442303559485,2,16
0,0,0,construction,12,0.000741954108713675,0.00723543088022894,0.08139463330025594,0.08213492103754433,3,15
0,0,0,construction,13,0.0010456777086164978,0.007509522243134686,0.0820920141585561,0.08281401031329735,3,15
0,0,0,construction,14,0.001016268940564228,0.00650158681506444,0.08234488164074828,0.08185077879733349,2,15
0,0,0,construction,15,0.0009793950819306774,0.006148124130134119,0.08269869960441999,0.08236749647083912,2,16
0,0,0,construction,16,0.0016036633263051313,0.004367727528523244,0.0814213695502424,0.08172181315170483,2,16
0,0,0,construction,17,0.0006559713614948912,0.005983120776448926,0.08312434005353228,0.08355449063568904,1,16
