model,split,reader,r2
countsketch_1152_extended,evaluation_post_hoc,block_x,0.14409227575602157
countsketch_1152_extended,evaluation_post_hoc,block_y,0.3896287077076701
countsketch_1152_extended,evaluation_post_hoc,block_sin,0.1618252214885001
countsketch_1152_extended,evaluation_post_hoc,block_cos,0.11441789033004834
countsketch_2304_15161,construction,agent_x,0.9999570139185225
countsketch_2304_15161,construction,agent_y,0.9999441996717495
countsketch_2304_15161,construction,block_x,0.9999851024584414
countsketch_2304_15161,construction,block_y,0.9999831256141963
countsketch_2304_15161,construction,block_sin,0.999987215035918
countsketch_2304_15161,construction,block_cos,0.9999848097825693
countsketch_2304_15161,evaluation_post_hoc,agent_x,0.531747422762398
countsketch_2304_15161,evaluation_post_hoc,agent_y,-0.1705968724865503
countsketch_2304_15161,evaluation_post_hoc,block_x,0.13594321673929466
countsketch_2304_15161,evaluation_post_hoc,block_y,0.3967588774751011
countsketch_2304_15161,evaluation_post_hoc,block_sin,0.1673272168934904
countsketch_2304_15161,evaluation_post_hoc,block_cos,0.18038394472725472
countsketch_2304_15173,construction,agent_x,0.9999573949193077
countsketch_2304_15173,construction,agent_y,0.9999509020267997
countsketch_2304_15173,construction,block_x,0.9999842038249322
countsketch_2304_15173,construction,block_y,0.9999833536398145
countsketch_2304_15173,construction,block_sin,0.9999853836075058
countsketch_2304_15173,construction,block_cos,0.9999860026272802
countsketch_2304_15173,evaluation_post_hoc,agent_x,0.6086218784919971
countsketch_2304_15173,evaluation_post_hoc,agent_y,-0.07043786203525304
countsketch_2304_15173,evaluation_post_hoc,block_x,0.18747984143401675
countsketch_2304_15173,evaluation_post_hoc,block_y,0.38962976954167294
countsketch_2304_15173,evaluation_post_hoc,block_sin,0.13398026612420755
countsketch_2304_15173,evaluation_post_hoc,block_cos,0.22885318907948038
countsketch_2304_15187,construction,agent_x,0.999567064264694
countsketch_2304_15187,construction,agent_y,0.999427738367817
countsketch_2304_15187,construction,block_x,0.9998092681470925
countsketch_2304_15187,construction,block_y,0.9997758948384486
countsketch_2304_15187,construction,block_sin,0.9998041894607441
countsketch_2304_15187,construction,block_cos,0.9998193828846909
countsketch_2304_15187,evaluation_post_hoc,agent_x,0.5313576468925509
countsketch_2304_15187,evaluation_post_hoc,agent_y,-0.3063860419012274
countsketch_2304_15187,evaluation_post_hoc,block_x,0.19021591838265395
countsketch_2304_15187,evaluation_post_hoc,block_y,0.44596987030037194
countsketch_2304_15187,evaluation_post_hoc,block_sin,0.16943584646220633
countsketch_2304_15187,evaluation_post_hoc,block_cos,0.1915028258012953
countsketch_2304_extended,construction,agent_x,0.9998937406562818
countsketch_2304_extended,construction,agent_y,0.999861718085644
countsketch_2304_extended,construction,block_x,0.9999579012842175
countsketch_2304_extended,construction,block_y,0.9999517031463296
countsketch_2304_extended,construction,block_sin,0.999959624617608
countsketch_2304_extended,construction,block_cos,0.9999600123354969
countsketch_2304_extended,evaluation_post_hoc,agent_x,0.5651634721214747
countsketch_2304_extended,evaluation_post_hoc,agent_y,-0.17762533150885784
countsketch_2304_extended,evaluation_post_hoc,block_x,0.17366965645134946
countsketch_2304_extended,evaluation_post_hoc,block_y,0.41419633248530985
