environment,state_id,task_id,split,planner,method,adaptation_seed,horizon,normalized_regret,weighted_pairwise_accuracy,top1_correct,normalized_margin_rmse,selected_action,oracle_action,true_cost_json,predicted_cost_json,true_margin_json,predicted_margin_json,physical_cost_range,best_second_gap,absolute_latent_rmse,centered_action_geometry_rmse,common_mode_rmse,native_fidelity_mse
PushT,32,4,probe_calibration,shared_metric,target_oracle,-1,1,0.6498263932996282,0.41030241149138336,0.0,1.2135540371080578,4,7,"[0.3750538229942322, 0.3324991762638092, 0.3324991762638092, 0.3324991762638092, 0.35524365305900574, 0.31523561477661133, 0.37345853447914124, 0.30950695276260376, 0.37988990545272827, 0.3217580020427704]","[4.97712047440688, 4.787380669407388, 4.787380669407388, 4.787380669407388, 4.630080633388981, 4.658775719945945, 5.0072952167685685, 4.996596773077405, 4.642437719818524, 5.255554508610301]","[0.042554646730422974, 0.042554646730422974, 0.042554646730422974, 0.01981016993522644, 0.05981820821762085, 0.0015952885150909424, 0.06554687023162842, -0.004836082458496094, 0.05329582095146179, 0.0, 0.0, -0.022744476795196533, 0.017263561487197876, -0.04095935821533203, 0.022992223501205444, -0.04739072918891907, 0.010741174221038818, 0.0, -0.022744476795196533, 0.017263561487197876, -0.04095935821533203, 0.022992223501205444, -0.04739072918891907, 0.010741174221038818, -0.022744476795196533, 0.017263561487197876, -0.04095935821533203, 0.022992223501205444, -0.04739072918891907, 0.010741174221038818, 0.04000803828239441, -0.018214881420135498, 0.04573670029640198, -0.024646252393722534, 0.03348565101623535, -0.05822291970252991, 0.005728662014007568, -0.06465429067611694, -0.006522387266159058, 0.06395158171653748, -0.006431370973587036, 0.05170053243637085, -0.07038295269012451, -0.012251049280166626, 0.058131903409957886]","[0.18973980499949228, 0.18973980499949228, 0.18973980499949228, 0.3470398410178994, 0.31834475446093524, -0.030174742361688267, -0.019476298670524805, 0.33468275458835617, -0.2784340342034204, 0.0, 0.0, 0.15730003601840714, 0.12860494946144296, -0.21991454736118055, -0.20921610367001708, 0.1449429495888639, -0.46817383920291267, 0.0, 0.15730003601840714, 0.12860494946144296, -0.21991454736118055, -0.20921610367001708, 0.1449429495888639, -0.46817383920291267, 0.15730003601840714, 0.12860494946144296, -0.21991454736118055, -0.20921610367001708, 0.1449429495888639, -0.46817383920291267, -0.028695086556964178, -0.3772145833795877, -0.3665161396884242, -0.012357086429543251, -0.6254738752213198, -0.3485194968226235, -0.33782105313146005, 0.016338000127420926, -0.5967787886643556, 0.010698443691163462, 0.36485749695004444, -0.24825929184173212, 0.354159053258881, -0.2589577355328956, -0.6131167887917766]",0.07038295269012451,0.005728662014007568,nan,nan,nan,nan
PushT,32,4,probe_calibration,shared_metric,target_oracle,-1,3,0.0,0.603772128026998,1.0,1.7182898201217758,5,5,"[0.3750538229942322, 0.2216332107782364, 0.18112850189208984, 0.18112850189208984, 0.252334326505661, 0.14112083613872528, 0.35498470067977905, 0.16231805086135864, 0.46345266699790955, 0.30513709783554077]","[4.428359427746102, 4.54845229085123, 3.9285335138861304, 3.9285335138861304, 4.8441174867680346, 3.487673479548616, 4.372164452932058, 4.563326735754373, 4.272419339921362, 5.653259123518493]","[0.1534206122159958, 0.19392532110214233, 0.19392532110214233, 0.12271949648857117, 0.2339329868555069, 0.020069122314453125, 0.21273577213287354, -0.08839884400367737, 0.0699167251586914, 0.040504708886146545, 0.040504708886146545, -0.03070111572742462, 0.08051237463951111, -0.13335148990154266, 0.05931515991687775, -0.24181945621967316, -0.08350388705730438, 0.0, -0.07120582461357117, 0.04000766575336456, -0.1738561987876892, 0.0188104510307312, -0.2823241651058197, -0.12400859594345093, -0.07120582461357117, 0.04000766575336456, -0.1738561987876892, 0.0188104510307312, -0.2823241651058197, -0.12400859594345093, 0.11121349036693573, -0.10265037417411804, 0.09001627564430237, -0.21111834049224854, -0.05280277132987976, -0.21386386454105377, -0.021197214722633362, -0.32233183085918427, -0.1640162616968155, 0.1926666498184204, -0.1084679663181305, 0.04984760284423828, -0.3011346161365509, -0.14281904697418213, 0.15831556916236877]","[-0.12009286310512834, 0.49982591385997166, 0.49982591385997166, -0.4157580590219325, 0.9406859481974861, 0.05619497481404423, -0.13496730800827095, 0.15594008782473967, -1.2248996957723906, 0.6199187769651, 0.6199187769651, -0.2956651959168042, 1.0607788113026144, 0.17628783791917257, -0.014874444903142603, 0.276032950929868, -1.1048068326672622, 0.0, -0.9155839728819042, 0.4408600343375144, -0.44363093904592743, -0.6347932218682426, -0.343885826035232, -1.7247256096323622, -0.9155839728819042, 0.4408600343375144, -0.44363093904592743, -0.6347932218682426, -0.343885826035232, -1.7247256096323622, 1.3564440072194186, 0.47195303383597675, 0.2807907510136616, 0.5716981468466722, -0.809141636750458, -0.8844909733834418, -1.075653256205757, -0.7847458603727464, -2.1655856439698766, -0.19116228282231518, 0.09974511301069544, -1.2810946705864348, 0.2909073958330106, -1.0899323877641196, -1.3808397835971302]",0.32233183085918427,0.021197214722633362,nan,nan,nan,nan
PushT,32,4,probe_calibration,shared_metric,target_oracle,-1,6,0.0,0.47696468279756,1.0,1.737817962554026,5,5,"[0.3750538229942322, 0.2216332107782364, 0.1131657287478447, 0.1318703442811966, 0.2245464324951172, 0.08911222964525223, 0.35513606667518616, 0.16136451065540314, 0.550544798374176, 0.30513709783554077]","[3.8418837648201434, 3.9460719700826936, 3.6910125259972064, 3.7849068702791886, 4.357430068256299, 3.3199610007050193, 3.5069234525133868, 4.151915209345177, 3.6036573702406915, 4.868047875513198]","[0.1534206122159958, 0.2618880942463875, 0.24318347871303558, 0.150507390499115, 0.28594159334897995, 0.01991775631904602, 0.21368931233882904, -0.17549097537994385, 0.0699167251586914, 0.1084674820303917, 0.0897628664970398, -0.0029132217168807983, 0.13252098113298416, -0.13350285589694977, 0.06026870012283325, -0.32891158759593964, -0.08350388705730438, -0.018704615533351898, -0.11138070374727249, 0.024053499102592468, -0.24197033792734146, -0.04819878190755844, -0.43737906962633133, -0.19197136908769608, -0.0926760882139206, 0.042758114635944366, -0.22326572239398956, -0.029494166374206543, -0.41867445409297943, -0.17326675355434418, 0.13543420284986496, -0.13058963418006897, 0.06318192183971405, -0.32599836587905884, -0.08059066534042358, -0.26602383702993393, -0.07225228101015091, -0.4614325687289238, -0.21602486819028854, 0.19377155601978302, -0.19540873169898987, 0.049998968839645386, -0.3891802877187729, -0.14377258718013763, 0.24540770053863525]","[-0.10418820526255024, 0.15087123882293696, 0.05697689454095478, -0.5155463034361558, 0.5219227641151241, 0.3349603123067566, -0.31003144452503406, 0.23822639457945183, -1.0261641106930544, 0.2550594440854872, 0.16116509980350502, -0.4113580981736056, 0.6261109693776743, 0.43914851756930684, -0.20584323926248382, 0.34241459984200207, -0.9219759054305041, -0.09389434428198218, -0.6664175422590928, 0.3710515252921871, 0.18408907348381964, -0.460902683347971, 0.08735515575651487, -1.1770353495159913, -0.5725231979771106, 0.4649458695741693, 0.2779834177658018, -0.36700833906598884, 0.18124950003849705, -1.0831410052340091, 1.0374690675512799, 0.8505066157429124, 0.20551485891112176, 0.7537726980156076, -0.5106178072568985, -0.18696245180836746, -0.8319542086401581, -0.28369636953567223, -1.5480868748081784, -0.6449917568317907, -0.09673391772730477, -1.361124422999811, 0.5482578391044859, -0.7161326661680203, -1.2643905052725062]",0.4614325687289238,0.024053499102592468,nan,nan,nan,nan
PushT,33,4,probe_calibration,shared_metric,target_oracle,-1,1,0.9462520931799491,0.4197866848384682,0.0,1.5734889093476627,4,9,"[0.3121875524520874, 0.3158756494522095, 0.3158756494522095, 0.3158756494522095, 0.32459697127342224, 0.3017953634262085, 0.32702186703681946, 0.29051268100738525, 0.3204188048839569, 0.28190577030181885]","[4.965155198791359, 3.7669453121840197, 3.7669453121840197, 3.7669453121840197, 3.686543322453593, 3.9278833467864085, 4.130805562585714, 4.057759445173913, 4.341638635277724, 4.023002037759579]","[-0.0036880970001220703, -0.0036880970001220703, -0.0036880970001220703, -0.012409418821334839, 0.010392189025878906, -0.014834314584732056, 0.02167487144470215, -0.008231252431869507, 0.030281782150268555, 0.0, 0.0, -0.008721321821212769, 0.014080286026000977, -0.011146217584609985, 0.02536296844482422, -0.0045431554317474365, 0.033969879150390625, 0.0, -0.008721321821212769, 0.014080286026000977, -0.011146217584609985, 0.02536296844482422, -0.0045431554317474365, 0.033969879150390625, -0.008721321821212769, 0.014080286026000977, -0.011146217584609985, 0.02536296844482422, -0.0045431554317474365, 0.033969879150390625, 0.022801607847213745, -0.002424895763397217, 0.03408429026603699, 0.004178166389465332, 0.042691200971603394, -0.025226503610610962, 0.011282682418823242, -0.018623441457748413, 0.01988959312438965, 0.036509186029434204, 0.006603062152862549, 0.04511609673500061, -0.029906123876571655, 0.008606910705566406, 0.03851303458213806]","[1.198209886607339, 1.198209886607339, 1.198209886607339, 1.2786118763377656, 1.0372718520049502, 0.8343496362056451, 0.907395753617446, 0.6235165635136344, 0.9421531610317793, 0.0, 0.0, 0.08040198973042667, -0.16093803460238876, -0.3638602504016939, -0.290814132989893, -0.5746933230937046, -0.2560567255755597, 0.0, 0.08040198973042667, -0.16093803460238876, -0.3638602504016939, -0.290814132989893, -0.5746933230937046, -0.2560567255755597, 0.08040198973042667, -0.16093803460238876, -0.3638602504016939, -0.290814132989893, -0.5746933230937046, -0.2560567255755597, -0.24134002433281543, -0.44426224013212057, -0.3712161227203197, -0.6550953128241312, -0.33645871530598637, -0.20292221579930514, -0.12987609838750425, -0.4137552884913158, -0.09511869097317094, 0.07304611741180089, -0.21083307269201068, 0.1078035248261342, -0.2838791901038116, 0.03475740741433331, 0.3186365975181449]",0.04511609673500061,0.008606910705566406,nan,nan,nan,nan
PushT,33,4,probe_calibration,shared_metric,target_oracle,-1,3,0.38037921226973503,0.742052857721696,0.0,1.297570662653641,7,9,"[0.3121875524520874, 0.3715621829032898, 0.40283745527267456, 0.40283745527267456, 0.4282800853252411, 0.35954031348228455, 0.43019580841064453, 0.27929455041885376, 0.3391103744506836, 0.18665772676467896]","[4.417713404337579, 3.912131813908482, 4.708707035055995, 4.708707035055995, 3.951115879086095, 4.551426137023481, 4.162010072402473, 3.685726611202702, 4.763881944711626, 3.8191258137825486]","[-0.05937463045120239, -0.09064990282058716, -0.09064990282058716, -0.11609253287315369, -0.047352761030197144, -0.11800825595855713, 0.03289300203323364, -0.02692282199859619, 0.12552982568740845, -0.031275272369384766, -0.031275272369384766, -0.056717902421951294, 0.012021869421005249, -0.058633625507354736, 0.09226763248443604, 0.0324518084526062, 0.18490445613861084, 0.0, -0.02544263005256653, 0.043297141790390015, -0.02735835313796997, 0.1235429048538208, 0.06372708082199097, 0.2161797285079956, -0.02544263005256653, 0.043297141790390015, -0.02735835313796997, 0.1235429048538208, 0.06372708082199097, 0.2161797285079956, 0.06873977184295654, -0.0019157230854034424, 0.14898553490638733, 0.0891697108745575, 0.24162235856056213, -0.07065549492835999, 0.08024576306343079, 0.020429939031600952, 0.1728825867176056, 0.15090125799179077, 0.09108543395996094, 0.24353808164596558, -0.059815824031829834, 0.0926368236541748, 0.15245264768600464]","[0.5055815904290974, -0.29099363071841555, -0.29099363071841555, 0.46659752525148424, -0.13371273268590134, 0.2557033319351065, 0.7319867931348774, -0.34616854037404643, 0.5985875905550309, -0.796575221147513, -0.796575221147513, -0.038984065177613214, -0.6392943231149988, -0.24987825849399092, 0.2264052027057799, -0.8517501308031439, 0.09300600012593341, 0.0, 0.7575911559698998, 0.15728089803251422, 0.5466969626535221, 1.022980423853293, -0.05517490965563088, 0.8895812212734464, 0.7575911559698998, 0.15728089803251422, 0.5466969626535221, 1.022980423853293, -0.05517490965563088, 0.8895812212734464, -0.6003102579373856, -0.2108941933163777, 0.2653892678833931, -0.8127660656255307, 0.13199006530354662, 0.38941606462100786, 0.8656995258207787, -0.2124558076881451, 0.7323003232409322, 0.47628346119977083, -0.601871872309153, 0.34288425861992433, -1.0781553335089238, -0.1333992025798465, 0.9447561309290773]",0.24353808164596558,0.0926368236541748,nan,nan,nan,nan
PushT,33,4,probe_calibration,shared_metric,target_oracle,-1,6,0.4753941310026132,0.5630794888134982,0.0,1.8571349556740144,1,9,"[0.3121875524520874, 0.3715621829032898, 0.4723520874977112, 0.618545413017273, 0.47266796231269836, 0.3973428010940552, 0.43207988142967224, 0.33705681562423706, 0.3391103744506836, 0.1477477252483368]","[3.8326476616626555, 3.3940234407172225, 3.8742455465539334, 4.339571632223223, 3.6947919916929894, 3.8515564448532063, 3.4756737576090684, 3.5977859684767184, 4.892642786306044, 3.8574094458142305]","[-0.05937463045120239, -0.16016453504562378, -0.30635786056518555, -0.16048040986061096, -0.08515524864196777, -0.11989232897758484, -0.024869263172149658, -0.02692282199859619, 0.1644398272037506, -0.10078990459442139, -0.24698323011398315, -0.10110577940940857, -0.02578061819076538, -0.060517698526382446, 0.034505367279052734, 0.0324518084526062, 0.223814457654953, -0.14619332551956177, -0.0003158748149871826, 0.075009286403656, 0.04027220606803894, 0.13529527187347412, 0.1332417130470276, 0.3246043622493744, 0.14587745070457458, 0.22120261192321777, 0.1864655315876007, 0.2814885973930359, 0.27943503856658936, 0.47079768776893616, 0.07532516121864319, 0.04058808088302612, 0.1356111466884613, 0.13355758786201477, 0.3249202370643616, -0.034737080335617065, 0.060285985469818115, 0.05823242664337158, 0.24959507584571838, 0.09502306580543518, 0.09296950697898865, 0.28433215618133545, -0.002053558826446533, 0.18930909037590027, 0.1913626492023468]","[0.43862422094543296, -0.041597884891277914, -0.5069239705605679, 0.13785566996966603, -0.018908783190550782, 0.3569739040535871, 0.23486169318593708, -1.0599951246433883, -0.02476178415157504, -0.4802221058367109, -0.9455481915060009, -0.30076855097576694, -0.45753300413598375, -0.08165031689184588, -0.20376252775949588, -1.4986193455888213, -0.463386005097008, -0.46532608566929, 0.17945355486094394, 0.022689101700727132, 0.398571788944865, 0.276459578077215, -1.0183972397521104, 0.016836100739702875, 0.644779640530234, 0.48801518737001714, 0.863897874614155, 0.741785663746505, -0.5530711540828204, 0.4821621864089929, -0.1567644531602168, 0.21911823408392106, 0.09700602321627105, -1.1978507946130543, -0.16261745412124107, 0.37588268724413787, 0.25377047637648786, -1.0410863414528375, -0.005853000961024257, -0.12211221086765, -1.4169690286969754, -0.3817356882051621, -1.2948568178293254, -0.2596234773375121, 1.0352333404918133]",0.47079768776893616,0.1644398272037506,nan,nan,nan,nan
PushT,34,4,probe_calibration,shared_metric,target_oracle,-1,1,0.0,nan,1.0,0.0,6,0,"[0.24064071476459503, 0.24064071476459503, 0.24064071476459503, 0.24064071476459503, 0.24064071476459503, 0.24064071476459503, 0.24064071476459503, 0.24064071476459503, 0.24064071476459503, 0.24064071476459503]","[6.1871470194148, 6.4072405916618695, 6.4072405916618695, 6.4072405916618695, 6.053856611032252, 6.542519361126211, 5.7738802260357955, 6.334584632174163, 5.803112659695818, 6.041474440796354]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.2200935722470696, -0.2200935722470696, -0.2200935722470696, 0.1332904083825479, -0.3553723417114112, 0.4132667933790044, -0.1474376127593633, 0.38403435971898237, 0.14567257861844585, 0.0, 0.0, 0.3533839806296175, -0.13527876946434159, 0.633360365626074, 0.07265595948770631, 0.604127931966052, 0.36576615086551545, 0.0, 0.3533839806296175, -0.13527876946434159, 0.633360365626074, 0.07265595948770631, 0.604127931966052, 0.36576615086551545, 0.3533839806296175, -0.13527876946434159, 0.633360365626074, 0.07265595948770631, 0.604127931966052, 0.36576615086551545, -0.4886627500939591, 0.2799763849964565, -0.2807280211419112, 0.25074395133643446, 0.012382170235897938, 0.7686391350904156, 0.2079347289520479, 0.7394067014303936, 0.501044920329857, -0.5607044061383677, -0.02923243366002204, -0.26759421476055856, 0.5314719724783457, 0.29311019137780914, -0.23836178110053652]",0.0,0.0,nan,nan,nan,nan
PushT,34,4,probe_calibration,shared_metric,target_oracle,-1,3,1.0,0.30465666470433034,0.0,2.0994072866122537,6,2,"[0.24064071476459503, 0.21639378368854523, 0.19471140205860138, 0.19471140205860138, 0.23532292246818542, 0.21338939666748047, 0.28712713718414307, 0.24064071476459503, 0.25816258788108826, 0.24064071476459503]","[5.504972398230291, 5.38187155380645, 4.531594228672645, 4.531594228672645, 4.4989517153328045, 5.339726542249441, 4.20025173400093, 5.120025013974039, 4.367661302307632, 5.360586902953214]","[0.024246931076049805, 0.04592931270599365, 0.04592931270599365, 0.005317792296409607, 0.027251318097114563, -0.046486422419548035, 0.0, -0.017521873116493225, 0.0, 0.021682381629943848, 0.021682381629943848, -0.018929138779640198, 0.0030043870210647583, -0.07073335349559784, -0.024246931076049805, -0.04176880419254303, -0.024246931076049805, 0.0, -0.040611520409584045, -0.01867799460887909, -0.09241573512554169, -0.04592931270599365, -0.06345118582248688, -0.04592931270599365, -0.040611520409584045, -0.01867799460887909, -0.09241573512554169, -0.04592931270599365, -0.06345118582248688, -0.04592931270599365, 0.021933525800704956, -0.05180421471595764, -0.005317792296409607, -0.022839665412902832, -0.005317792296409607, -0.0737377405166626, -0.027251318097114563, -0.04477319121360779, -0.027251318097114563, 0.046486422419548035, 0.02896454930305481, 0.046486422419548035, -0.017521873116493225, 0.0, 0.017521873116493225]","[0.12310084442384106, 0.9733781695576456, 0.9733781695576456, 1.0060206828974865, 0.1652458559808503, 1.304720664229361, 0.3849473842562521, 1.1373110959226587, 0.1443854952770769, 0.8502773251338045, 0.8502773251338045, 0.8829198384736454, 0.042145011557009227, 1.1816198198055199, 0.261846539832411, 1.0142102514988176, 0.02128465085323583, 0.0, 0.03264251333984092, -0.8081323135767953, 0.3313424946717154, -0.5884307853013935, 0.1639329263650131, -0.8289926742805687, 0.03264251333984092, -0.8081323135767953, 0.3313424946717154, -0.5884307853013935, 0.1639329263650131, -0.8289926742805687, -0.8407748269166362, 0.2986999813318745, -0.6210732986412344, 0.1312904130251722, -0.8616351876204096, 1.1394748082485107, 0.2197015282754018, 0.9720652399418084, -0.020860360703773395, -0.9197732799731089, -0.16740956830670228, -1.160335168952284, 0.7523637116664066, -0.2405618889791752, -0.9929256006455818]",0.09241573512554169,0.0,nan,nan,nan,nan
PushT,34,4,probe_calibration,shared_metric,target_oracle,-1,6,0.4707471199364931,0.564118311872803,0.0,2.7569573483990224,4,3,"[0.24064071476459503, 0.21639378368854523, 0.149026557803154, 0.10867658257484436, 0.2288697212934494, 0.1928366869688034, 0.3640007972717285, 0.24064071476459503, 0.25816258788108826, 0.24064071476459503]","[4.775914066512073, 4.669116245932202, 3.3487902515246017, 4.123323395533377, 3.2551492085354363, 3.6940469015005313, 3.42641177750963, 5.0158911423550006, 4.685162097185509, 4.878602946130353]","[0.024246931076049805, 0.09161415696144104, 0.13196413218975067, 0.01177099347114563, 0.047804027795791626, -0.12336008250713348, 0.0, -0.017521873116493225, 0.0, 0.06736722588539124, 0.10771720111370087, -0.012475937604904175, 0.02355709671974182, -0.1476070135831833, -0.024246931076049805, -0.04176880419254303, -0.024246931076049805, 0.04034997522830963, -0.07984316349029541, -0.043810129165649414, -0.21497423946857452, -0.09161415696144104, -0.10913603007793427, -0.09161415696144104, -0.12019313871860504, -0.08416010439395905, -0.25532421469688416, -0.13196413218975067, -0.1494860053062439, -0.13196413218975067, 0.036033034324645996, -0.1351310759782791, -0.01177099347114563, -0.029292866587638855, -0.01177099347114563, -0.1711641103029251, -0.047804027795791626, -0.06532590091228485, -0.047804027795791626, 0.12336008250713348, 0.10583820939064026, 0.12336008250713348, -0.017521873116493225, 0.0, 0.017521873116493225]","[0.10679782057987097, 1.4271238149874717, 0.6525906709786966, 1.520764857976637, 1.0818671650115421, 1.3495022890024435, -0.23997707584292716, 0.09075196932656482, -0.10268887961827922, 1.3203259944076007, 0.5457928503988256, 1.413967037396766, 0.9750693444316711, 1.2427044684225725, -0.34677489642279813, -0.016045851253306154, -0.2094867001981502, -0.774533144008775, 0.09364104298916542, -0.34525664997592953, -0.07762152598502814, -1.6671008908303988, -1.3363718456609068, -1.5298126946057509, 0.8681741869979405, 0.4292764940328455, 0.6969116180237469, -0.8925677468216238, -0.5618387016521318, -0.7552795505969758, -0.43889769296509495, -0.17126256897419356, -1.7607419338195642, -1.4300128886500723, -1.6234537375949163, 0.2676351239909014, -1.3218442408544693, -0.9911151956849773, -1.1845560446298213, -1.5894793648453707, -1.2587503196758787, -1.4521911686207227, 0.330729045169492, 0.13728819622464794, -0.19344084894484403]",0.25532421469688416,0.04034997522830963,nan,nan,nan,nan
PushT,35,4,probe_calibration,shared_metric,target_oracle,-1,1,0.018157698203686963,0.8546161424361631,0.0,1.2571011024773198,5,8,"[0.24313977360725403, 0.24237646162509918, 0.24237646162509918, 0.24237646162509918, 0.2459416538476944, 0.2414010614156723, 0.2488453984260559, 0.24313977360725403, 0.24126338958740234, 0.24313977360725403]","[4.519658712483041, 5.155651031528146, 5.155651031528146, 5.155651031528146, 5.909258768681531, 4.466279418262621, 5.897600283226856, 4.5419728322235216, 4.903030743998762, 4.493171192254593]","[0.0007633119821548462, 0.0007633119821548462, 0.0007633119821548462, -0.0028018802404403687, 0.001738712191581726, -0.00570562481880188, 0.0, 0.0018763840198516846, 0.0, 0.0, 0.0, -0.003565192222595215, 0.0009754002094268799, -0.006468936800956726, -0.0007633119821548462, 0.0011130720376968384, -0.0007633119821548462, 0.0, -0.003565192222595215, 0.0009754002094268799, -0.006468936800956726, -0.0007633119821548462, 0.0011130720376968384, -0.0007633119821548462, -0.003565192222595215, 0.0009754002094268799, -0.006468936800956726, -0.0007633119821548462, 0.0011130720376968384, -0.0007633119821548462, 0.004540592432022095, -0.0029037445783615112, 0.0028018802404403687, 0.004678264260292053, 0.0028018802404403687, -0.007444337010383606, -0.001738712191581726, 0.0001376718282699585, -0.001738712191581726, 0.00570562481880188, 0.0075820088386535645, 0.00570562481880188, 0.0018763840198516846, 0.0, -0.0018763840198516846]","[-0.6359923190451049, -0.6359923190451049, -0.6359923190451049, -1.38960005619849, 0.05337929422042009, -1.3779415707438147, -0.022314119740480365, -0.3833720315157212, 0.026487520228448247, 0.0, 0.0, -0.7536077371533851, 0.689371613265525, -0.7419492516987098, 0.6136781993046245, 0.2526202875293837, 0.6624798392735531, 0.0, -0.7536077371533851, 0.689371613265525, -0.7419492516987098, 0.6136781993046245, 0.2526202875293837, 0.6624798392735531, -0.7536077371533851, 0.689371613265525, -0.7419492516987098, 0.6136781993046245, 0.2526202875293837, 0.6624798392735531, 1.4429793504189101, 0.011658485454675294, 1.3672859364580097, 1.0062280246827688, 1.4160875764269383, -1.4313208649642348, -0.07569341396090046, -0.4367513257361413, -0.026891773991971846, 1.3556274510033344, 0.9945695392280935, 1.404429090972263, -0.3610579117752408, 0.04880163996892861, 0.40985955174416944]",0.0075820088386535645,0.0001376718282699585,nan,nan,nan,nan
